NAME                                    READY   STATUS                     RESTARTS   AGE     IP                NODE                   NOMINATED NODE   READINESS GATES
cluster-state-manager-775857b8c-kmmxr   1/1     Running                    0          19h     10.42.0.61        or-sim-control-plane   <none>           <none>
epoch-controller-86df7b9cb-97mps        1/1     Running                    0          20h     10.42.0.50        or-sim-control-plane   <none>           <none>
gpt2-runtime-65479b5db9-2jqzs           0/1     UnexpectedAdmissionError   0          3m19s   <none>            ampere                 <none>           <none>
gpt2-runtime-65479b5db9-42sfs           0/1     UnexpectedAdmissionError   0          3m19s   <none>            ampere                 <none>           <none>
gpt2-runtime-65479b5db9-5s7st           0/1     UnexpectedAdmissionError   0          3m18s   <none>            ampere                 <none>           <none>
gpt2-runtime-65479b5db9-768k7           0/1     UnexpectedAdmissionError   0          3m44s   <none>            ampere                 <none>           <none>
gpt2-runtime-65479b5db9-7b9vh           0/1     UnexpectedAdmissionError   0          3m44s   <none>            ampere                 <none>           <none>
gpt2-runtime-65479b5db9-8v6j4           0/1     UnexpectedAdmissionError   0          3m19s   <none>            ampere                 <none>           <none>
gpt2-runtime-65479b5db9-9pwq7           0/1     UnexpectedAdmissionError   0          3m19s   <none>            ampere                 <none>           <none>
gpt2-runtime-65479b5db9-b94gd           0/1     UnexpectedAdmissionError   0          3m42s   <none>            ampere                 <none>           <none>
gpt2-runtime-65479b5db9-bhr7l           0/1     UnexpectedAdmissionError   0          3m18s   <none>            ampere                 <none>           <none>
gpt2-runtime-65479b5db9-cphzt           0/1     UnexpectedAdmissionError   0          3m43s   <none>            ampere                 <none>           <none>
gpt2-runtime-65479b5db9-dmxsh           0/1     UnexpectedAdmissionError   0          3m18s   <none>            ampere                 <none>           <none>
gpt2-runtime-65479b5db9-dpkxm           0/1     UnexpectedAdmissionError   0          3m44s   <none>            ampere                 <none>           <none>
gpt2-runtime-65479b5db9-dzctt           0/1     UnexpectedAdmissionError   0          3m44s   <none>            ampere                 <none>           <none>
gpt2-runtime-65479b5db9-g6qm2           0/1     UnexpectedAdmissionError   0          3m17s   <none>            ampere                 <none>           <none>
gpt2-runtime-65479b5db9-hnwhx           0/1     UnexpectedAdmissionError   0          3m18s   <none>            ampere                 <none>           <none>
gpt2-runtime-65479b5db9-hv7xh           0/1     UnexpectedAdmissionError   0          3m19s   <none>            ampere                 <none>           <none>
