LAST SEEN   TYPE      REASON                     OBJECT                                                           MESSAGE
42m         Normal    Scheduled                  pod/migrant-go-control-plane-build-or-sim-control-plane-zzp66    Successfully assigned or-sim/migrant-go-control-plane-build-or-sim-control-plane-zzp66 to or-sim-control-plane
42m         Normal    Pulled                     pod/migrant-go-control-plane-build-or-sim-control-plane-zzp66    Container image "gcr.io/kaniko-project/executor:debug" already present on machine
42m         Normal    Created                    pod/migrant-go-control-plane-build-or-sim-control-plane-zzp66    Created container: kaniko
42m         Normal    SuccessfulCreate           job/migrant-go-control-plane-build-or-sim-control-plane          Created pod: migrant-go-control-plane-build-or-sim-control-plane-zzp66
42m         Normal    Pulled                     pod/migrant-go-planner-engine-build-or-sim-control-plane-zmj5b   Container image "gcr.io/kaniko-project/executor:debug" already present on machine
42m         Normal    Started                    pod/migrant-go-control-plane-build-or-sim-control-plane-zzp66    Started container kaniko
42m         Normal    Scheduled                  pod/migrant-go-planner-engine-build-or-sim-control-plane-zmj5b   Successfully assigned or-sim/migrant-go-planner-engine-build-or-sim-control-plane-zmj5b to or-sim-control-plane
42m         Normal    SuccessfulCreate           job/migrant-go-planner-engine-build-or-sim-control-plane         Created pod: migrant-go-planner-engine-build-or-sim-control-plane-zmj5b
42m         Normal    Created                    pod/migrant-go-planner-engine-build-or-sim-control-plane-zmj5b   Created container: kaniko
42m         Normal    Started                    pod/migrant-go-planner-engine-build-or-sim-control-plane-zmj5b   Started container kaniko
42m         Normal    Completed                  job/migrant-go-planner-engine-build-or-sim-control-plane         Job completed
41m         Normal    Completed                  job/migrant-go-control-plane-build-or-sim-control-plane          Job completed
41m         Normal    ScalingReplicaSet          deployment/planner-controller                                    Scaled up replica set planner-controller-755d8ffc84 from 0 to 1
41m         Normal    Scheduled                  pod/transition-executor-7bcf6cbd6c-697jd                         Successfully assigned or-sim/transition-executor-7bcf6cbd6c-697jd to or-sim-control-plane
41m         Normal    Scheduled                  pod/planner-controller-755d8ffc84-2fzbq                          Successfully assigned or-sim/planner-controller-755d8ffc84-2fzbq to or-sim-control-plane
41m         Normal    SuccessfulCreate           replicaset/transition-executor-7bcf6cbd6c                        Created pod: transition-executor-7bcf6cbd6c-697jd
41m         Normal    ScalingReplicaSet          deployment/transition-executor                                   Scaled up replica set transition-executor-7bcf6cbd6c from 0 to 1
41m         Normal    SuccessfulCreate           replicaset/planner-controller-755d8ffc84                         Created pod: planner-controller-755d8ffc84-2fzbq
41m         Normal    Pulling                    pod/transition-executor-7bcf6cbd6c-697jd                         Pulling image "localhost:10690/migrant-control-plane:go"
41m         Normal    Killing                    pod/transition-executor-6f4fdbb8ff-rpjh4                         Stopping container controller
41m         Normal    Pulling                    pod/planner-controller-755d8ffc84-2fzbq                          Pulling image "localhost:10690/migrant-control-plane:go"
41m         Normal    Pulled                     pod/planner-controller-755d8ffc84-2fzbq                          Successfully pulled image "localhost:10690/migrant-control-plane:go" in 259ms (259ms including waiting). Image size: 21903045 bytes.
41m         Normal    Created                    pod/planner-controller-755d8ffc84-2fzbq                          Created container: controller
41m         Normal    SuccessfulDelete           replicaset/planner-controller-6fdd976879                         Deleted pod: planner-controller-6fdd976879-6psql
41m         Normal    Started                    pod/planner-controller-755d8ffc84-2fzbq                          Started container controller
41m         Normal    ScalingReplicaSet          deployment/planner-controller                                    Scaled down replica set planner-controller-6fdd976879 from 1 to 0
41m         Normal    SuccessfulDelete           replicaset/transition-executor-6f4fdbb8ff                        Deleted pod: transition-executor-6f4fdbb8ff-rpjh4
41m         Normal    Pulled                     pod/transition-executor-7bcf6cbd6c-697jd                         Successfully pulled image "localhost:10690/migrant-control-plane:go" in 259ms (259ms including waiting). Image size: 21903045 bytes.
41m         Normal    Created                    pod/transition-executor-7bcf6cbd6c-697jd                         Created container: controller
41m         Normal    ScalingReplicaSet          deployment/transition-executor                                   Scaled down replica set transition-executor-6f4fdbb8ff from 1 to 0
41m         Normal    Started                    pod/transition-executor-7bcf6cbd6c-697jd                         Started container controller
41m         Normal    Killing                    pod/planner-controller-6fdd976879-6psql                          Stopping container controller
41m         Normal    ScalingReplicaSet          deployment/planner-engine                                        Scaled up replica set planner-engine-855796ff8b from 0 to 1
41m         Normal    Scheduled                  pod/planner-engine-855796ff8b-59jkg                              Successfully assigned or-sim/planner-engine-855796ff8b-59jkg to or-sim-control-plane
41m         Normal    Pulling                    pod/planner-engine-855796ff8b-59jkg                              Pulling image "localhost:10690/migrant-planner-engine:go"
41m         Normal    SuccessfulCreate           replicaset/planner-engine-855796ff8b                             Created pod: planner-engine-855796ff8b-59jkg
41m         Normal    Pulled                     pod/planner-engine-855796ff8b-59jkg                              Successfully pulled image "localhost:10690/migrant-planner-engine:go" in 3.183s (3.183s including waiting). Image size: 116521097 bytes.
41m         Normal    Started                    pod/planner-engine-855796ff8b-59jkg                              Started container planner-engine
41m         Normal    Created                    pod/planner-engine-855796ff8b-59jkg                              Created container: planner-engine
40m         Normal    Killing                    pod/llama-runtime-f595b4d67-n2c4c                                Stopping container runtime
40m         Normal    Killing                    pod/gpt2-runtime-67bdbbdf58-65m2l                                Stopping container runtime
34m         Normal    Scheduled                  pod/migrant-go-planner-engine-build-or-sim-control-plane-pcxqb   Successfully assigned or-sim/migrant-go-planner-engine-build-or-sim-control-plane-pcxqb to or-sim-control-plane
34m         Normal    SuccessfulCreate           job/migrant-go-planner-engine-build-or-sim-control-plane         Created pod: migrant-go-planner-engine-build-or-sim-control-plane-pcxqb
34m         Normal    Created                    pod/migrant-go-planner-engine-build-or-sim-control-plane-pcxqb   Created container: kaniko
34m         Normal    Pulled                     pod/migrant-go-planner-engine-build-or-sim-control-plane-pcxqb   Container image "gcr.io/kaniko-project/executor:debug" already present on machine
34m         Normal    Started                    pod/migrant-go-planner-engine-build-or-sim-control-plane-pcxqb   Started container kaniko
34m         Normal    Completed                  job/migrant-go-planner-engine-build-or-sim-control-plane         Job completed
33m         Normal    SuccessfulDelete           replicaset/planner-engine-855796ff8b                             Deleted pod: planner-engine-855796ff8b-59jkg
33m         Normal    Killing                    pod/planner-engine-855796ff8b-59jkg                              Stopping container planner-engine
33m         Normal    ScalingReplicaSet          deployment/planner-engine                                        Scaled down replica set planner-engine-855796ff8b from 1 to 0
33m         Normal    Pulling                    pod/transition-executor-5948ff6545-xds75                         Pulling image "localhost:10690/migrant-control-plane:go"
33m         Normal    Started                    pod/transition-executor-5948ff6545-xds75                         Started container controller
33m         Normal    Scheduled                  pod/transition-executor-5948ff6545-xds75                         Successfully assigned or-sim/transition-executor-5948ff6545-xds75 to or-sim-control-plane
33m         Normal    ScalingReplicaSet          deployment/transition-executor                                   Scaled up replica set transition-executor-5948ff6545 from 0 to 1
33m         Normal    Pulled                     pod/transition-executor-5948ff6545-xds75                         Successfully pulled image "localhost:10690/migrant-control-plane:go" in 23ms (23ms including waiting). Image size: 21903045 bytes.
33m         Normal    Created                    pod/transition-executor-5948ff6545-xds75                         Created container: controller
33m         Normal    SuccessfulCreate           replicaset/transition-executor-5948ff6545                        Created pod: transition-executor-5948ff6545-xds75
33m         Normal    SuccessfulDelete           replicaset/transition-executor-7bcf6cbd6c                        Deleted pod: transition-executor-7bcf6cbd6c-697jd
33m         Normal    Killing                    pod/transition-executor-7bcf6cbd6c-697jd                         Stopping container controller
33m         Normal    ScalingReplicaSet          deployment/transition-executor                                   Scaled down replica set transition-executor-7bcf6cbd6c from 1 to 0
32m         Normal    SuccessfulCreate           replicaset/planner-engine-85994dd8dc                             Created pod: planner-engine-85994dd8dc-fqzdt
32m         Normal    Scheduled                  pod/planner-engine-85994dd8dc-fqzdt                              Successfully assigned or-sim/planner-engine-85994dd8dc-fqzdt to or-sim-control-plane
32m         Normal    Pulling                    pod/planner-engine-85994dd8dc-fqzdt                              Pulling image "localhost:10690/migrant-planner-engine:go"
32m         Normal    ScalingReplicaSet          deployment/planner-engine                                        Scaled up replica set planner-engine-85994dd8dc from 0 to 1
32m         Normal    Created                    pod/planner-engine-85994dd8dc-fqzdt                              Created container: planner-engine
32m         Normal    Pulled                     pod/planner-engine-85994dd8dc-fqzdt                              Successfully pulled image "localhost:10690/migrant-planner-engine:go" in 2.05s (2.05s including waiting). Image size: 116522313 bytes.
32m         Normal    Started                    pod/planner-engine-85994dd8dc-fqzdt                              Started container planner-engine
31m         Normal    Scheduled                  pod/llama-runtime-fc6f5dd9-5pkwn                                 Successfully assigned or-sim/llama-runtime-fc6f5dd9-5pkwn to ampere
31m         Normal    SuccessfulCreate           replicaset/llama-runtime-fc6f5dd9                                Created pod: llama-runtime-fc6f5dd9-5pkwn
31m         Normal    ScalingReplicaSet          deployment/gpt2-runtime                                          Scaled up replica set gpt2-runtime-78cd7b4b56 from 0 to 1
31m         Normal    Scheduled                  pod/gpt2-runtime-78cd7b4b56-zd5tm                                Successfully assigned or-sim/gpt2-runtime-78cd7b4b56-zd5tm to ampere
