LAST SEEN   TYPE     REASON              OBJECT                                                          MESSAGE
18m         Normal   Scheduled           pod/migrant-go-control-plane-build-or-sim-control-plane-2r6md   Successfully assigned or-sim/migrant-go-control-plane-build-or-sim-control-plane-2r6md to or-sim-control-plane
18m         Normal   SuccessfulCreate    job/migrant-go-control-plane-build-or-sim-control-plane         Created pod: migrant-go-control-plane-build-or-sim-control-plane-2r6md
18m         Normal   Created             pod/migrant-go-control-plane-build-or-sim-control-plane-2r6md   Created container: kaniko
18m         Normal   Pulled              pod/migrant-go-control-plane-build-or-sim-control-plane-2r6md   Container image "gcr.io/kaniko-project/executor:debug" already present on machine
18m         Normal   Started             pod/migrant-go-control-plane-build-or-sim-control-plane-2r6md   Started container kaniko
18m         Normal   SuccessfulCreate    job/migrant-go-image-build-ampere                               Created pod: migrant-go-image-build-ampere-s74pm
18m         Normal   Scheduled           pod/migrant-go-image-build-ampere-s74pm                         Successfully assigned or-sim/migrant-go-image-build-ampere-s74pm to ampere
18m         Normal   Pulled              pod/migrant-go-image-build-ampere-s74pm                         Container image "gcr.io/kaniko-project/executor:debug" already present on machine
18m         Normal   Started             pod/migrant-go-image-build-ampere-s74pm                         Started container kaniko
18m         Normal   Created             pod/migrant-go-image-build-ampere-s74pm                         Created container: kaniko
17m         Normal   Completed           job/migrant-go-control-plane-build-or-sim-control-plane         Job completed
12m         Normal   Completed           job/migrant-go-image-build-ampere                               Job completed
12m         Normal   SuccessfulCreate    replicaset/cluster-state-manager-76d4d4787b                     Created pod: cluster-state-manager-76d4d4787b-jhzgl
12m         Normal   Scheduled           pod/transition-executor-c68f577c8-hpd4r                         Successfully assigned or-sim/transition-executor-c68f577c8-hpd4r to or-sim-control-plane
12m         Normal   SuccessfulCreate    replicaset/transition-executor-c68f577c8                        Created pod: transition-executor-c68f577c8-hpd4r
12m         Normal   ScalingReplicaSet   deployment/transition-executor                                  Scaled up replica set transition-executor-c68f577c8 from 0 to 1
12m         Normal   ScalingReplicaSet   deployment/cluster-state-manager                                Scaled up replica set cluster-state-manager-76d4d4787b from 0 to 1
12m         Normal   Scheduled           pod/planner-controller-84748c7899-w7tsf                         Successfully assigned or-sim/planner-controller-84748c7899-w7tsf to or-sim-control-plane
12m         Normal   SuccessfulCreate    replicaset/planner-controller-84748c7899                        Created pod: planner-controller-84748c7899-w7tsf
12m         Normal   ScalingReplicaSet   deployment/planner-controller                                   Scaled up replica set planner-controller-84748c7899 from 0 to 1
12m         Normal   Scheduled           pod/cluster-state-manager-76d4d4787b-jhzgl                      Successfully assigned or-sim/cluster-state-manager-76d4d4787b-jhzgl to or-sim-control-plane
12m         Normal   ScalingReplicaSet   deployment/planner-controller                                   Scaled down replica set planner-controller-5797f88bb7 from 1 to 0
12m         Normal   SuccessfulDelete    replicaset/cluster-state-manager-7d4d789bbd                     Deleted pod: cluster-state-manager-7d4d789bbd-p4865
12m         Normal   Killing             pod/transition-executor-78588d6bcd-pvq6p                        Stopping container controller
12m         Normal   SuccessfulDelete    replicaset/transition-executor-78588d6bcd                       Deleted pod: transition-executor-78588d6bcd-pvq6p
12m         Normal   Started             pod/planner-controller-84748c7899-w7tsf                         Started container controller
12m         Normal   Created             pod/planner-controller-84748c7899-w7tsf                         Created container: controller
12m         Normal   Pulled              pod/planner-controller-84748c7899-w7tsf                         Successfully pulled image "localhost:10690/migrant-control-plane:go" in 251ms (251ms including waiting). Image size: 21952514 bytes.
12m         Normal   Pulling             pod/planner-controller-84748c7899-w7tsf                         Pulling image "localhost:10690/migrant-control-plane:go"
12m         Normal   ScalingReplicaSet   deployment/cluster-state-manager                                Scaled down replica set cluster-state-manager-7d4d789bbd from 1 to 0
12m         Normal   SuccessfulDelete    replicaset/planner-controller-5797f88bb7                        Deleted pod: planner-controller-5797f88bb7-pjqwc
12m         Normal   Killing             pod/planner-controller-5797f88bb7-pjqwc                         Stopping container controller
12m         Normal   Pulling             pod/cluster-state-manager-76d4d4787b-jhzgl                      Pulling image "localhost:10690/migrant-control-plane:go"
12m         Normal   Pulled              pod/cluster-state-manager-76d4d4787b-jhzgl                      Successfully pulled image "localhost:10690/migrant-control-plane:go" in 254ms (254ms including waiting). Image size: 21952514 bytes.
12m         Normal   Created             pod/cluster-state-manager-76d4d4787b-jhzgl                      Created container: controller
12m         Normal   Killing             pod/cluster-state-manager-7d4d789bbd-p4865                      Stopping container controller
12m         Normal   Pulling             pod/transition-executor-c68f577c8-hpd4r                         Pulling image "localhost:10690/migrant-control-plane:go"
12m         Normal   Pulled              pod/transition-executor-c68f577c8-hpd4r                         Successfully pulled image "localhost:10690/migrant-control-plane:go" in 245ms (245ms including waiting). Image size: 21952514 bytes.
12m         Normal   Started             pod/cluster-state-manager-76d4d4787b-jhzgl                      Started container controller
12m         Normal   Created             pod/transition-executor-c68f577c8-hpd4r                         Created container: controller
12m         Normal   Started             pod/transition-executor-c68f577c8-hpd4r                         Started container controller
12m         Normal   ScalingReplicaSet   deployment/transition-executor                                  Scaled down replica set transition-executor-78588d6bcd from 1 to 0
11m         Normal   SuccessfulCreate    daemonset/mig-node-agent                                        Created pod: mig-node-agent-jhc97
11m         Normal   Killing             pod/slot-device-plugin-277xw                                    Stopping container plugin
11m         Normal   Scheduled           pod/mig-node-agent-jhc97                                        Successfully assigned or-sim/mig-node-agent-jhc97 to ampere
11m         Normal   Killing             pod/mig-node-agent-cd4xj                                        Stopping container agent
11m         Normal   Scheduled           pod/slot-device-plugin-dczzd                                    Successfully assigned or-sim/slot-device-plugin-dczzd to ampere
11m         Normal   Pulling             pod/slot-device-plugin-dczzd                                    Pulling image "localhost:10690/migrant-node-agent:go"
11m         Normal   SuccessfulCreate    daemonset/slot-device-plugin                                    Created pod: slot-device-plugin-dczzd
11m         Normal   Pulling             pod/mig-node-agent-jhc97                                        Pulling image "localhost:10690/migrant-node-agent:go"
11m         Normal   Started             pod/mig-node-agent-jhc97                                        Started container agent
