action_count,action_counts_json,algorithm_wall_sec,chosen_templates,clear_count,coarse_root_action_count,collocate_pairs,completed,configure_count,estimated_hardware_sec,exact_preserve,failure_reason,failure_stage,feasible,feasible_option_elapsed_sec,final_active_gpu,fine_action_count,gpu_count,iteration_count,mixed_gpu_count,peak_active_gpu,placement_elapsed_sec,reached_target,remaining_slots,scenario,sim_transition_elapsed_sec,source_active_gpu,spread,target_build_elapsed_sec,target_physical_templates,template_match_count,total_instances,total_slack,upgrade_preserve,variant,wall_sec
30,"{""bind_target_gpu"": 4, ""clear_gpu"": 9, ""clear_template"": 9, ""configure_full_template"": 4, ""place_target_layout"": 4}",1.238448716700077,4+3+3+1+1+1+1+3+1+1+1+1+2+2+1+1+1,9,9,24,True,4,546.4,0,,,True,0.1718445848673582,4,30,4,1,1,9,0.10003185272216797,True,6,round2_stage0_bootstrap_balanced,0.002002585679292679,9,6,0.9530549049377441,4+3+1+1+1+1+3+2+1+1+2+1+1+1+1+1+1+1+1,0,15,484.25781499999994,0,current_full,1.238448716700077
45,"{""allocate_gpu"": 9, ""bind_target_gpu"": 9, ""clear_gpu"": 1, ""clear_template"": 1, ""configure_full_template"": 9, ""mark_reconfig_target_prepared"": 1, ""place_instance"": 2, ""place_target_layout"": 9, ""stop_accepting_new"": 4}",14.018662126734853,4+3+3+2+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+2+1+1+1+1+1,1,13,77,True,9,1035.2,12,,,True,0.05727987177670002,12,45,12,3,7,13,0.06482434272766113,True,5,round2_stage1_llm_spike,0.013803215697407722,4,23,13.876950740814209,4+3+2+1+1+3+1+1+1+1+3+1+1+1+1+1+1+1+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+4+3+2+1+1+3+1+1+1+1+1+1+1,0,55,484.4644509999998,1,current_full,14.018662126734853
61,"{""allocate_gpu"": 1, ""bind_target_gpu"": 2, ""clear_gpu"": 7, ""clear_template"": 7, ""configure_full_template"": 2, ""mark_reconfig_target_prepared"": 1, ""place_instance"": 2, ""place_target_layout"": 2, ""remove_instance"": 2, ""stop_accepting_new"": 35}",0.8521339651197195,4+3+4+3+3+2+1+1+3+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,7,19,49,True,2,338.2,22,,,True,0.05400910973548889,7,61,7,3,3,13,0.056462764739990234,True,6,round2_stage2_vision_shift,0.02137603797018528,12,11,0.7146701812744141,4+3+4+3+1+1+2+3+1+1+1+1+1+1+1+4+3+1+1+1+1+1+1+1+1+1+1+1+1+1+1,0,29,454.36985300000015,0,current_full,0.8521339651197195
36,"{""bind_target_gpu"": 1, ""clear_gpu"": 4, ""clear_template"": 4, ""configure_full_template"": 1, ""place_instance"": 4, ""place_target_layout"": 1, ""remove_instance"": 4, ""stop_accepting_new"": 17}",0.38774011097848415,4+2+1+3+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,4,18,30,True,1,179.8,13,,,True,0.06233939155936241,4,36,4,8,2,7,0.06452012062072754,True,5,round2_stage3_scale_down,0.01901092752814293,7,7,0.23688268661499023,4+3+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+3,0,18,587.6318650000001,0,current_full,0.38774011097848415
34,"{""allocate_gpu"": 5, ""bind_target_gpu"": 5, ""configure_full_template"": 5, ""place_instance"": 8, ""place_target_layout"": 5, ""remove_instance"": 3, ""stop_accepting_new"": 3}",1.7589418161660433,4+3+4+3+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1,0,16,62,True,5,580.0,14,,,True,0.05445779487490654,9,34,9,10,3,9,0.05234789848327637,True,4,round2_stage4_mixed_rebound,0.0256838146597147,4,13,1.6217169761657715,1+1+1+1+1+1+1+4+3+1+1+1+1+1+1+1+1+1+1+1+3+1+1+1+1+3+4+3+4+3+4+3+1+1+1+1+1+1+1,0,38,333.6648160000004,1,current_full,1.7589418161660433
30,"{""bind_target_gpu"": 4, ""clear_gpu"": 9, ""clear_template"": 9, ""configure_full_template"": 4, ""place_target_layout"": 4}",0.27297103963792324,4+2+1+4+1+1+1+3+1+1+1+1+1+1+1+1+1+1+1,9,9,33,True,4,546.4,0,,,True,0.05429794453084469,4,30,4,1,2,9,0.1463916301727295,True,0,round2_stage0_bootstrap_balanced,0.001850290223956108,9,7,0.06546759605407715,4+3+4+1+1+1+2+1+1+1+1+1+1+1+1+1+1+1+1,0,19,206.8081549999988,0,placement_milp_original,0.27297103963792324
50,"{""allocate_gpu"": 9, ""bind_target_gpu"": 9, ""clear_gpu"": 1, ""clear_template"": 1, ""configure_full_template"": 9, ""mark_reconfig_target_prepared"": 1, ""place_instance"": 2, ""place_target_layout"": 9, ""remove_instance"": 1, ""stop_accepting_new"": 5, ""update_batch"": 3}",14.419679155573249,2+2+3+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+1+1+1+1+1+1+1,1,16,87,True,9,1040.2,13,,,True,0.05440108850598335,12,50,12,7,8,12,0.1353905200958252,True,2,round2_stage1_llm_spike,0.024183154106140137,4,22,14.199972152709961,4+3+1+1+1+1+3+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+4+3+2+1+1+3+1+1+1+1+1+1+1,0,58,207.07241399999998,1,placement_milp_original,14.419679155573249
60,"{""bind_target_gpu"": 2, ""clear_gpu"": 7, ""clear_template"": 7, ""configure_full_template"": 2, ""place_target_layout"": 2, ""stop_accepting_new"": 34, ""update_batch"": 6}",2.746448000892997,4+1+1+1+4+1+1+1+4+1+1+1+3+2+1+1+3+1+1+1+1+2+2+1+1+1+1+1+1+1+1+1+1,7,20,54,True,2,339.2,27,,,True,0.05596298538148403,7,60,7,6,3,12,0.8111324310302734,True,1,round2_stage2_vision_shift,0.02800789847970009,12,12,1.8449962139129639,4+3+1+1+1+1+1+1+1+2+1+1+1+1+1+1+1+1+1+1+1+1+4+3+4+2+1+1+1+1+1+2+1,0,32,18.729542000000038,0,placement_milp_original,2.746448000892997
41,"{""allocate_gpu"": 1, ""bind_target_gpu"": 2, ""clear_gpu"": 5, ""clear_template"": 5, ""configure_full_template"": 2, ""mark_reconfig_target_prepared"": 1, ""place_target_layout"": 2, ""stop_accepting_new"": 23}",0.1381623726338148,4+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1,5,11,31,True,2,301.40000000000003,15,,,True,0.05486655607819557,4,41,4,3,2,8,0.061539411544799805,True,0,round2_stage3_scale_down,0.011023372411727905,7,7,0.005103349685668945,4+3+1+1+1+1+1+1+1+1+1+1+1+3+1+1+1+1+3,0,19,197.97274999999968,0,placement_milp_original,0.1381623726338148
43,"{""allocate_gpu"": 6, ""bind_target_gpu"": 6, ""clear_gpu"": 1, ""clear_template"": 1, ""configure_full_template"": 6, ""mark_reconfig_target_prepared"": 1, ""place_instance"": 6, ""place_target_layout"": 6, ""remove_instance"": 3, ""stop_accepting_new"": 5, ""update_batch"": 2}",12.526823913678527,2+2+3+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+1+1+1+1+2+2+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,1,18,54,True,6,705.6,13,,,True,0.054537393152713776,9,43,9,9,7,9,0.22317934036254883,True,2,round2_stage4_mixed_rebound,0.027766872197389603,4,19,12.215793132781982,1+1+2+3+1+1+1+1+3+1+1+1+1+1+1+1+1+1+1+1+3+1+1+1+1+3+1+1+1+1+3+2+1+1+2+1+2+1+1+2+1+1+1+1+1+3,0,44,186.08748500000002,0,placement_milp_original,12.526823913678527
