mig_uuid,mig_name,model,batch,seq_len,dtype,engine,time_ms_mean,time_ms_p50,time_ms_p90,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,1,16,bf16,hf,7.1912,7.1710,7.3355,225.48,230.00,4542.00,4512.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,1,32,bf16,hf,7.4110,7.2134,7.3602,225.83,230.00,4512.00,4512.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,1,64,bf16,hf,7.1423,7.1295,7.2683,226.53,232.00,4512.00,4510.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,1,128,bf16,hf,7.4821,7.3482,7.8913,227.94,232.00,4510.00,4510.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,1,256,bf16,hf,7.3874,7.3210,7.4684,230.76,254.00,4510.00,4488.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,1,512,bf16,hf,7.3500,7.3383,7.4112,236.39,254.00,4488.00,4488.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,2,16,bf16,hf,7.3226,7.3121,7.4275,225.83,254.00,4488.00,4488.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,2,32,bf16,hf,7.1978,7.1500,7.3148,226.53,254.00,4488.00,4488.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,2,64,bf16,hf,7.2512,7.1702,7.5153,227.94,254.00,4488.00,4488.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,2,128,bf16,hf,7.4042,7.3571,7.5313,230.76,254.00,4488.00,4488.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,2,256,bf16,hf,7.8236,7.7686,8.1032,236.39,254.00,4488.00,4488.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,2,512,bf16,hf,12.6802,12.6752,12.7095,247.65,274.00,4488.00,4468.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,4,16,bf16,hf,7.1303,7.1002,7.2258,226.53,274.00,4468.00,4468.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,4,32,bf16,hf,7.2496,7.2573,7.3604,227.94,274.00,4468.00,4468.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,4,64,bf16,hf,7.3386,7.3021,7.5146,230.76,274.00,4468.00,4468.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,4,128,bf16,hf,7.3285,7.2940,7.5080,236.39,274.00,4468.00,4468.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,4,256,bf16,hf,12.3801,12.3818,12.4067,247.65,274.00,4468.00,4468.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,4,512,bf16,hf,24.2371,24.2229,24.2876,270.17,306.00,4468.00,4436.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,8,16,bf16,hf,7.2948,7.2826,7.4340,227.94,306.00,4436.00,4436.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,8,32,bf16,hf,7.3859,7.3340,7.5941,230.76,306.00,4436.00,4436.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,8,64,bf16,hf,7.2944,7.2793,7.3884,236.39,306.00,4436.00,4436.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,8,128,bf16,hf,12.2896,12.2862,12.3210,247.65,306.00,4436.00,4436.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,8,256,bf16,hf,23.5517,23.5522,23.5688,270.17,306.00,4436.00,4436.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,8,512,bf16,hf,46.6692,46.6631,46.6960,315.22,378.00,4436.00,4364.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,16,16,bf16,hf,7.7820,7.7308,7.9600,230.76,378.00,4364.00,4364.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,16,32,bf16,hf,7.4929,7.4847,7.5351,236.39,378.00,4364.00,4364.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,16,64,bf16,hf,12.5356,12.5319,12.5612,247.65,378.00,4364.00,4364.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,16,128,bf16,hf,23.3495,23.3447,23.3709,270.17,378.00,4364.00,4364.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,16,256,bf16,hf,45.2963,45.2897,45.3221,315.22,378.00,4364.00,4364.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,16,512,bf16,hf,87.9556,87.9387,88.0422,405.31,522.00,4364.00,4220.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,32,16,bf16,hf,8.0570,8.0458,8.0814,236.39,522.00,4220.00,4220.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,32,32,bf16,hf,13.0913,13.0896,13.1323,247.65,522.00,4220.00,4220.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,32,64,bf16,hf,23.7692,23.7669,23.7927,270.17,522.00,4220.00,4220.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,32,128,bf16,hf,44.9181,44.9154,44.9310,315.22,522.00,4220.00,4220.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,32,256,bf16,hf,85.1433,85.1248,85.2101,405.31,522.00,4220.00,4220.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,bert-base-uncased,32,512,bf16,hf,178.9613,178.9529,179.0022,585.50,858.00,4220.00,3884.00
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,1,16,bf16,hf,5.8584,5.8319,5.9912,225.48,230.00,19519.88,19469.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,1,32,bf16,hf,5.8786,5.8849,5.9920,225.83,230.00,19469.88,19469.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,1,64,bf16,hf,5.9146,5.9132,6.0432,226.53,232.00,19469.88,19467.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,1,128,bf16,hf,5.8964,5.8977,6.0138,227.94,232.00,19467.88,19467.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,1,256,bf16,hf,5.8547,5.8448,6.0391,230.76,254.00,19467.88,19445.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,1,512,bf16,hf,5.9715,5.9622,6.1280,236.39,254.00,19445.88,19445.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,2,16,bf16,hf,5.9217,5.9273,6.0678,225.83,254.00,19445.88,19445.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,2,32,bf16,hf,5.9323,5.9030,6.0252,226.53,254.00,19445.88,19445.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,2,64,bf16,hf,5.8942,5.8954,5.9969,227.94,254.00,19445.88,19445.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,2,128,bf16,hf,5.8451,5.8279,5.9487,230.76,254.00,19445.88,19445.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,2,256,bf16,hf,5.9525,5.9233,6.0764,236.39,254.00,19445.88,19445.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,2,512,bf16,hf,5.9554,5.9375,6.0539,247.65,274.00,19445.88,19425.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,4,16,bf16,hf,5.9481,5.8294,6.0406,226.53,274.00,19425.88,19425.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,4,32,bf16,hf,5.8541,5.8447,5.9656,227.94,274.00,19425.88,19425.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,4,64,bf16,hf,5.8279,5.8296,5.9374,230.76,274.00,19425.88,19425.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,4,128,bf16,hf,5.9730,5.9695,6.0739,236.39,274.00,19425.88,19425.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,4,256,bf16,hf,5.9303,5.9268,6.0252,247.65,274.00,19425.88,19425.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,4,512,bf16,hf,8.1705,8.1597,8.2154,270.17,306.00,19425.88,19393.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,8,16,bf16,hf,5.8990,5.8925,6.0151,227.94,306.00,19393.88,19393.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,8,32,bf16,hf,5.8212,5.8127,5.9140,230.76,306.00,19393.88,19393.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,8,64,bf16,hf,6.0238,6.0211,6.1264,236.39,306.00,19393.88,19393.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,8,128,bf16,hf,6.0015,5.9937,6.1387,247.65,306.00,19393.88,19393.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,8,256,bf16,hf,7.9643,7.9369,7.9566,270.17,306.00,19393.88,19393.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,bert-base-uncased,8,512,bf16,hf,15.5023,15.4992,15.5124,315.22,378.00,19393.88,19321.88
