mig_uuid,mig_name,mig_profile,node,gpu_index,model,batch,input_hw,dtype,engine,status,error,sample_count,time_ms_mean,time_ms_p50,time_ms_p95,time_ms_p99,throughput_rps,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after,source_run_id
MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,0,resnet50,1,224x224,fp16,torchvision,ok,,50,40.015582,40.377026,42.979073,44.45789,24.990265,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,0,resnet50,1,224x224,fp16,torchvision,ok,,50,39.473283,39.865601,42.521568,45.378689,25.333591,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,0,resnet50,1,224x224,fp16,torchvision,ok,,50,39.176748,39.725151,41.76368,42.172256,25.525345,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,0,resnet50,1,224x224,fp16,torchvision,ok,,50,38.208146,37.989185,41.422722,44.673794,26.172429,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,0,resnet50,1,224x224,fp16,torchvision,ok,,50,39.173238,39.883999,41.570686,44.22784,25.527632,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-183fa215-464e-5359-9394-6bca2fef6406,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,1,resnet50,1,224x224,fp16,torchvision,ok,,50,40.94012,40.634048,44.915073,50.951649,24.425918,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-cd5ccd12-9bd8-5d9f-9c97-3f4e20a97fa0,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,1,resnet50,1,224x224,fp16,torchvision,ok,,50,39.896387,40.022751,41.322304,41.985634,25.064927,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,1,resnet50,1,224x224,fp16,torchvision,ok,,50,39.819976,40.0672,41.337376,41.660706,25.113023,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,1,resnet50,1,224x224,fp16,torchvision,ok,,50,39.498532,39.700321,45.895554,45.963585,25.317397,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-e6a72acc-723d-5ebf-bf4f-196a4352174f,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,1,resnet50,1,224x224,fp16,torchvision,ok,,50,39.939924,40.032513,41.962238,47.774815,25.037604,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-4bc33233-28f9-566c-9f82-89bd8db02cf6,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,rtx1-worker,0,resnet50,1,224x224,fp16,torchvision,ok,,50,24.228588,23.891457,25.913919,29.914177,41.273557,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-7076f62a-e0b2-533b-99af-74c7b443d5ba,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,rtx1-worker,0,resnet50,1,224x224,fp16,torchvision,ok,,50,24.319014,24.031872,25.638496,29.914623,41.120089,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,rtx1-worker,0,resnet50,1,224x224,fp16,torchvision,ok,,50,24.234203,24.068735,25.877567,28.553217,41.263994,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,rtx1-worker,0,resnet50,1,224x224,fp16,torchvision,ok,,50,24.299937,23.950016,26.195808,29.213793,41.152371,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,rtx1-worker,0,resnet50,1,224x224,fp16,torchvision,ok,,50,24.120362,23.877279,25.315424,28.474304,41.458747,0.0,0.0,,,vision-20260703-rtx1-gpu0
MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,0,resnet50,4,224x224,fp16,torchvision,ok,,50,40.960049,40.996193,42.184574,48.45216,97.656134,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,0,resnet50,4,224x224,fp16,torchvision,ok,,50,41.196124,41.008991,42.715679,45.433601,97.096513,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,0,resnet50,4,224x224,fp16,torchvision,ok,,50,40.251057,40.415455,41.411041,43.125759,99.376272,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,0,resnet50,4,224x224,fp16,torchvision,ok,,50,40.635054,40.526848,41.955776,47.249119,98.437177,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,0,resnet50,4,224x224,fp16,torchvision,ok,,50,40.141089,40.085537,42.179649,46.191616,99.648516,0.0,0.0,,,vision-20260703-ampere-gpu0
MIG-183fa215-464e-5359-9394-6bca2fef6406,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,1,resnet50,4,224x224,fp16,torchvision,ok,,50,40.105055,40.633793,42.482433,46.079296,99.73805,0.0,0.0,,,vision-20260703-ampere-gpu1
MIG-cd5ccd12-9bd8-5d9f-9c97-3f4e20a97fa0,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,1,resnet50,4,224x224,fp16,torchvision,ok,,50,39.622873,40.200607,41.893536,42.655422,100.95179,0.0,0.0,,,vision-20260703-ampere-gpu1
