mig_uuid,mig_name,mig_profile,node,gpu_index,model,batch,prompt_len,output_tokens,dtype,engine,status,error,sample_count,ttft_ms,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,tpot_ms,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,decode_tps,time_ms_mean,time_ms_p50,time_ms_p95,time_ms_p99,throughput_rps,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after,source_run_id
MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,0,gpt2-medium,1,64,64,fp16,hf,ok,,5,21.946349,21.123775,24.986496,24.986496,15.724286,16.052383,16.670181,16.670181,63.595893,1028.300647,1051.604614,1086.874512,1086.874512,0.972478,741.972656,792.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,0,gpt2-medium,1,64,64,fp16,hf,ok,,5,20.765388,19.679487,25.226784,25.226784,15.49501,15.708327,15.865497,15.865497,64.536907,1012.446008,1030.559692,1035.071289,1035.071289,0.987707,741.972656,792.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,0,gpt2-medium,1,64,64,fp16,hf,ok,,5,21.577011,20.184959,23.955135,23.955135,15.999843,15.974291,16.485738,16.485738,62.500611,1045.566992,1042.087402,1078.999023,1078.999023,0.956419,741.972656,792.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,0,gpt2-medium,1,64,64,fp16,hf,ok,,5,18.21353,18.407681,25.470688,25.470688,12.10497,9.574563,16.241586,16.241586,82.610698,792.931592,625.571899,1058.875732,1058.875732,1.261143,741.972656,792.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,0,gpt2-medium,1,64,64,fp16,hf,ok,,5,19.125108,18.956928,23.136608,23.136608,14.541798,15.384584,16.252685,16.252685,68.767286,949.800195,1003.570312,1061.433716,1061.433716,1.052853,741.972656,792.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-183fa215-464e-5359-9394-6bca2fef6406,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,1,gpt2-medium,1,64,64,fp16,hf,ok,,5,19.937331,19.665119,24.769344,24.769344,13.958262,15.899987,17.2103,17.2103,71.642156,913.266113,1036.580566,1117.383423,1117.383423,1.094971,741.972656,792.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-cd5ccd12-9bd8-5d9f-9c97-3f4e20a97fa0,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,1,gpt2-medium,1,64,64,fp16,hf,ok,,5,21.184761,20.530336,25.662785,25.662785,15.869026,15.776435,16.160805,16.160805,63.015839,1036.802441,1035.354614,1055.133911,1055.133911,0.964504,741.972656,792.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,1,gpt2-medium,1,64,64,fp16,hf,ok,,5,21.340211,20.35088,26.010719,26.010719,15.987884,16.052802,16.153368,16.153368,62.547364,1044.564795,1047.730225,1054.687012,1054.687012,0.957336,741.972656,792.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,1,gpt2-medium,1,64,64,fp16,hf,ok,,5,20.897696,19.810112,25.310305,25.310305,16.174075,16.227378,16.414628,16.414628,61.827338,1056.038501,1058.908813,1070.346313,1070.346313,0.946935,741.972656,792.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-e6a72acc-723d-5ebf-bf4f-196a4352174f,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,1,gpt2-medium,1,64,64,fp16,hf,ok,,5,20.013581,19.210752,23.178177,23.178177,14.249806,14.893857,16.2456,16.2456,70.176393,932.001172,973.816589,1062.896606,1062.896606,1.07296,741.972656,792.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-4bc33233-28f9-566c-9f82-89bd8db02cf6,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,rtx1-worker,0,gpt2-medium,1,64,64,fp16,hf,ok,,5,12.129318,11.156992,16.26,16.26,11.784113,11.026137,13.153228,13.153228,84.860015,766.312549,716.829773,852.645325,852.645325,1.304951,741.972656,792.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-7076f62a-e0b2-533b-99af-74c7b443d5ba,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,rtx1-worker,0,gpt2-medium,1,64,64,fp16,hf,ok,,5,10.963667,10.135776,14.260192,14.260192,10.001643,10.012085,10.092476,10.092476,99.983576,651.068799,650.708496,656.378052,656.378052,1.535936,741.972656,792.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,rtx1-worker,0,gpt2-medium,1,64,64,fp16,hf,ok,,5,11.100371,10.041472,13.287456,13.287456,10.910149,10.325942,13.309037,13.309037,91.657777,709.349902,670.901733,864.285828,864.285828,1.409742,741.972656,792.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,rtx1-worker,0,gpt2-medium,1,64,64,fp16,hf,ok,,5,10.659353,9.99376,13.335296,13.335296,10.431355,10.318577,10.913537,10.913537,95.864819,678.266101,672.289368,708.470093,708.470093,1.474348,741.972656,792.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,rtx1-worker,0,gpt2-medium,1,64,64,fp16,hf,ok,,5,10.941146,10.1808,14.0544,14.0544,10.249642,10.230662,10.467361,10.467361,97.564386,666.918213,665.40033,679.974487,679.974487,1.499434,741.972656,792.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,0,gpt2-medium,1,64,128,fp16,hf,ok,,5,16.953261,18.358591,27.081184,27.081184,12.377909,12.96322,14.639691,14.639691,80.789091,1601.325586,1677.650757,1892.851807,1892.851807,0.624483,753.973633,808.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,0,gpt2-medium,1,64,128,fp16,hf,ok,,5,19.065574,18.748224,27.029247,27.029247,13.459946,14.308922,15.129056,15.129056,74.294502,1741.938696,1852.968872,1955.062866,1955.062866,0.574073,753.973633,808.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,0,gpt2-medium,1,64,128,fp16,hf,ok,,5,19.253402,19.318913,22.326303,22.326303,13.153371,15.509863,15.890661,15.890661,76.026139,1702.884863,2004.901123,2053.323486,2053.323486,0.587239,753.973633,806.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,0,gpt2-medium,1,64,128,fp16,hf,ok,,5,17.588281,18.532448,24.626047,24.626047,12.001378,9.978455,15.731414,15.731414,83.323767,1553.764624,1293.739868,2038.24707,2038.24707,0.643598,753.973633,808.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,0,gpt2-medium,1,64,128,fp16,hf,ok,,5,20.07321,18.034719,30.14496,30.14496,11.572646,9.522282,14.851785,14.851785,86.410663,1501.371875,1236.427734,1919.664429,1919.664429,0.666058,753.973633,808.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-183fa215-464e-5359-9394-6bca2fef6406,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,1,gpt2-medium,1,64,128,fp16,hf,ok,,5,20.422362,19.382849,26.292608,26.292608,11.901505,10.240971,14.662864,14.662864,84.022986,1543.815015,1330.227173,1896.554932,1896.554932,0.647746,753.973633,806.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-cd5ccd12-9bd8-5d9f-9c97-3f4e20a97fa0,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,1,gpt2-medium,1,64,128,fp16,hf,ok,,5,20.125088,18.785791,25.7376,25.7376,14.393536,14.519539,16.325981,16.325981,69.475631,1862.497705,1884.238647,2108.398193,2108.398193,0.536913,753.973633,808.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,1,gpt2-medium,1,64,128,fp16,hf,ok,,5,22.560896,19.133984,32.332226,32.332226,14.1087,13.451347,15.582206,15.582206,70.878254,1828.474463,1745.947632,2012.828247,2012.828247,0.546904,753.973633,806.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,1,gpt2-medium,1,64,128,fp16,hf,ok,,5,17.62864,18.295263,24.68368,24.68368,12.058389,12.686085,14.915453,14.915453,82.929816,1561.102466,1648.502563,1927.473267,1927.473267,0.640573,753.973633,808.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-e6a72acc-723d-5ebf-bf4f-196a4352174f,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,1,gpt2-medium,1,64,128,fp16,hf,ok,,5,20.212577,18.40736,25.935425,25.935425,12.175891,13.614374,14.467153,14.467153,82.12951,1578.726685,1761.047241,1870.101929,1870.101929,0.633422,753.973633,806.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-4bc33233-28f9-566c-9f82-89bd8db02cf6,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,rtx1-worker,0,gpt2-medium,1,64,128,fp16,hf,ok,,5,11.419271,10.840064,14.0352,14.0352,10.874463,10.633898,11.706359,11.706359,91.958562,1403.350562,1371.697021,1509.254028,1509.254028,0.71258,753.973633,808.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-7076f62a-e0b2-533b-99af-74c7b443d5ba,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,rtx1-worker,0,gpt2-medium,1,64,128,fp16,hf,ok,,5,11.100992,10.145664,15.146304,15.146304,10.235162,10.181536,10.353474,10.353474,97.702408,1321.201758,1313.185425,1335.482178,1335.482178,0.756887,753.973633,808.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,rtx1-worker,0,gpt2-medium,1,64,128,fp16,hf,ok,,5,10.700557,9.992576,13.73792,13.73792,10.288368,10.256466,10.483655,10.483655,97.197145,1327.61167,1322.69165,1352.078979,1352.078979,0.753232,753.973633,808.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,rtx1-worker,0,gpt2-medium,1,64,128,fp16,hf,ok,,5,10.844934,10.092128,13.757728,13.757728,10.521967,10.499681,10.61023,10.61023,95.039264,1357.656714,1354.046509,1371.867188,1371.867188,0.736563,753.973633,806.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,rtx1-worker,0,gpt2-medium,1,64,128,fp16,hf,ok,,5,10.927008,10.1224,14.487776,14.487776,10.464021,10.472858,10.562152,10.562152,95.565559,1350.32168,1350.456665,1362.077881,1362.077881,0.740564,753.973633,806.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,0,gpt2-medium,1,64,256,fp16,hf,ok,,5,17.926291,17.703487,24.292801,24.292801,10.68003,10.012808,12.008697,12.008697,93.632694,2752.014014,2580.887451,3098.519287,3098.519287,0.36337,777.975586,834.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,0,gpt2-medium,1,64,256,fp16,hf,ok,,5,17.684294,18.548544,24.107584,24.107584,10.538913,10.766648,11.265228,11.265228,94.88645,2715.645898,2780.369385,2902.544189,2902.544189,0.368237,777.975586,834.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,0,gpt2-medium,1,64,256,fp16,hf,ok,,5,18.990585,18.45936,24.247744,24.247744,11.3362,11.471127,12.802014,12.802014,88.212979,2921.057861,2955.067871,3301.563232,3301.563232,0.342342,777.975586,832.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,0,gpt2-medium,1,64,256,fp16,hf,ok,,5,15.134343,9.61968,26.683041,26.683041,10.728274,9.851691,12.12457,12.12457,93.21164,2761.572461,2531.652588,3130.572998,3130.572998,0.362113,777.975586,834.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,0,gpt2-medium,1,64,256,fp16,hf,ok,,5,18.086906,18.251616,26.681761,26.681761,10.310722,9.612407,11.991562,11.991562,96.986417,2657.631787,2470.181641,3096.521729,3096.521729,0.376275,777.975586,834.0,,,llm-ttft-tpot-20260702-ampere-gpu0-gpt2
MIG-183fa215-464e-5359-9394-6bca2fef6406,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,1,gpt2-medium,1,64,256,fp16,hf,ok,,5,19.907686,19.614241,23.917919,23.917919,11.846418,11.775153,12.707355,12.707355,84.4137,3052.590771,3033.171631,3272.697021,3272.697021,0.327591,777.975586,834.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-cd5ccd12-9bd8-5d9f-9c97-3f4e20a97fa0,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,1,gpt2-medium,1,64,256,fp16,hf,ok,,5,19.926816,18.851871,25.910433,25.910433,11.230165,11.83156,12.88688,12.88688,89.045886,2894.849072,3054.789795,3317.893066,3317.893066,0.345441,777.975586,834.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,1,gpt2-medium,1,64,256,fp16,hf,ok,,5,16.490892,18.223167,26.1064,26.1064,11.377233,11.906317,12.909064,12.909064,87.89483,2929.062646,3066.240234,3330.826904,3330.826904,0.341406,777.975586,834.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,1,gpt2-medium,1,64,256,fp16,hf,ok,,5,19.111142,17.378143,25.979008,25.979008,10.690033,9.715853,12.907854,12.907854,93.545081,2755.75957,2504.636475,3330.389648,3330.389648,0.362876,777.975586,834.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-e6a72acc-723d-5ebf-bf4f-196a4352174f,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,1,gpt2-medium,1,64,256,fp16,hf,ok,,5,20.436703,19.131359,26.335775,26.335775,11.218066,11.234383,11.39734,11.39734,89.141923,2892.26167,2894.67041,2944.054688,2944.054688,0.34575,777.975586,834.0,,,llm-ttft-tpot-20260702-ampere-gpu1-gpt2
MIG-4bc33233-28f9-566c-9f82-89bd8db02cf6,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,rtx1-worker,0,gpt2-medium,1,64,256,fp16,hf,ok,,5,11.937325,11.189344,15.004032,15.004032,11.255484,10.865379,12.895743,12.895743,88.845582,2893.341162,2792.34668,3313.127686,3313.127686,0.345621,777.975586,834.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-7076f62a-e0b2-533b-99af-74c7b443d5ba,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,rtx1-worker,0,gpt2-medium,1,64,256,fp16,hf,ok,,5,11.631001,10.292896,17.114847,17.114847,11.066327,10.463079,13.549737,13.549737,90.364222,2844.610645,2688.787354,3485.847412,3485.847412,0.351542,777.975586,834.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,rtx1-worker,0,gpt2-medium,1,64,256,fp16,hf,ok,,5,10.864122,10.170432,13.526304,13.526304,10.180135,10.153978,10.291886,10.291886,98.230527,2616.978613,2609.33667,2648.249023,2648.249023,0.38212,777.975586,834.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,rtx1-worker,0,gpt2-medium,1,64,256,fp16,hf,ok,,5,10.917107,10.255424,13.924768,13.924768,10.822312,10.486598,11.452726,11.452726,92.401695,2781.429053,2694.568604,2945.82251,2945.82251,0.359527,777.975586,834.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-gpt2
