mig_uuid,mig_name,mig_profile,node,gpu_index,model,batch,prompt_len,output_tokens,dtype,engine,status,error,sample_count,ttft_ms,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,tpot_ms,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,decode_tps,time_ms_mean,time_ms_p50,time_ms_p95,time_ms_p99,throughput_rps,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after,source_run_id
MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,0,Llama-3.2-3B,1,64,64,fp16,hf,ok,,5,35.342477,34.704704,39.362751,39.362751,28.916527,29.305331,32.431587,32.431587,34.582299,1886.00022,1909.290649,2109.774414,2109.774414,0.530223,6167.973633,6228.0,,,llm-ttft-tpot-20260702-ampere-gpu0-llama-main-p2plus
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,0,Llama-3.2-3B,1,64,64,fp16,hf,ok,,5,28.711718,29.566944,37.983391,37.983391,22.300021,19.359415,27.439869,27.439869,44.843008,1455.913037,1266.983276,1794.13501,1794.13501,0.686854,6167.973633,6228.0,,,llm-ttft-tpot-20260702-ampere-gpu0-llama-main-p2plus
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,0,Llama-3.2-3B,1,64,64,fp16,hf,ok,,5,35.14569,34.48288,41.726593,41.726593,26.779858,27.681242,31.908815,31.908815,37.341498,1749.056592,1806.082397,2075.152832,2075.152832,0.571737,6167.973633,6228.0,,,llm-ttft-tpot-20260702-ampere-gpu0-llama-main-p2plus
MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,0,Llama-3.2-3B,1,64,64,fp16,hf,ok,,5,31.956372,31.851969,44.348961,44.348961,26.120276,27.73435,29.681854,29.681854,38.284435,1703.654028,1806.850342,1932.394165,1932.394165,0.586974,6167.973633,6228.0,,,llm-ttft-tpot-20260702-ampere-gpu0-llama-main-p2plus
MIG-cd5ccd12-9bd8-5d9f-9c97-3f4e20a97fa0,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,1,Llama-3.2-3B,1,64,64,fp16,hf,ok,,5,33.779155,33.336159,40.147743,40.147743,27.646023,28.089017,33.275297,33.275297,36.171567,1803.124658,1831.173706,2163.571289,2163.571289,0.554593,6167.973633,6228.0,,,llm-ttft-tpot-20260702-ampere-gpu1-llama-main-p2plus
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,1,Llama-3.2-3B,1,64,64,fp16,hf,ok,,5,35.560262,33.514366,43.090366,43.090366,28.021586,27.280238,32.085396,32.085396,35.686773,1828.941797,1778.234131,2090.188965,2090.188965,0.546764,6167.973633,6228.0,,,llm-ttft-tpot-20260702-ampere-gpu1-llama-main-p2plus
MIG-b43d42d1-022f-5770-a25d-c0bea366ae4e,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,1,Llama-3.2-3B,1,64,64,fp16,hf,ok,,5,31.149984,32.255135,42.506496,42.506496,23.800509,25.297649,28.245001,28.245001,42.015909,1554.382544,1661.55603,1839.935181,1839.935181,0.643342,6167.973633,6228.0,,,llm-ttft-tpot-20260702-ampere-gpu1-llama-main-p2plus
MIG-e6a72acc-723d-5ebf-bf4f-196a4352174f,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,1,Llama-3.2-3B,1,64,64,fp16,hf,ok,,5,28.727513,32.652031,39.045567,39.045567,23.766616,24.073284,29.823154,29.823154,42.075826,1549.790942,1579.735718,1941.582153,1941.582153,0.645248,6167.973633,6228.0,,,llm-ttft-tpot-20260702-ampere-gpu1-llama-main-p2plus
MIG-7076f62a-e0b2-533b-99af-74c7b443d5ba,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,rtx1-worker,0,Llama-3.2-3B,1,64,64,fp16,hf,ok,,5,28.78857,28.090591,31.6472,31.6472,24.529924,24.521896,24.610776,24.610776,40.766535,1598.703711,1597.437988,1603.212524,1603.212524,0.625507,6167.973633,6228.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-llama-main-p2plus
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,rtx1-worker,0,Llama-3.2-3B,1,64,64,fp16,hf,ok,,5,21.918426,21.345793,25.0504,25.0504,23.311206,23.712097,26.968425,26.968425,42.897823,1513.83562,1538.475464,1747.360718,1747.360718,0.660574,6167.973633,6228.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-llama-main-p2plus
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,rtx1-worker,0,Llama-3.2-3B,1,64,64,fp16,hf,ok,,5,22.018279,21.220064,25.060192,25.060192,21.784643,21.444403,23.332205,23.332205,45.903898,1416.2354,1393.578979,1514.481201,1514.481201,0.706097,6167.973633,6228.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-llama-main-p2plus
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,rtx1-worker,0,Llama-3.2-3B,1,64,64,fp16,hf,ok,,5,21.241798,20.600992,24.405727,24.405727,21.141469,20.446395,23.848729,23.848729,47.300403,1374.295801,1328.650391,1550.724365,1550.724365,0.727645,6167.973633,6228.0,,,llm-ttft-tpot-20260702-rtx1-gpu0-llama-main-p2plus
MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,0,Llama-3.2-3B,1,64,128,fp16,hf,ok,,5,37.760973,36.86813,45.613441,45.613441,27.723972,27.38474,30.778641,30.778641,36.069868,3586.429346,3543.638916,3985.279541,3985.279541,0.278829,6170.041016,6234.0,,,llm-ttft-tpot-20260702-ampere-gpu0-llama-main-p2plus
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,0,Llama-3.2-3B,1,64,128,fp16,hf,ok,,5,35.686855,33.653408,42.905857,42.905857,22.528896,22.764545,24.780545,24.780545,44.387439,2919.385547,2946.053711,3214.815674,3214.815674,0.342538,6170.041016,6234.0,,,llm-ttft-tpot-20260702-ampere-gpu0-llama-main-p2plus
