run_id,timestamp,node,gpu_index,mig_profile,mig_uuid,device_resource,slot_resource,workload,model,model_id,family,batch,prompt_len,output_tokens,status,error,sample_count,latency_ms_mean,latency_ms_p50,latency_ms_p95,latency_ms_p99,throughput_rps,ttft_ms_mean,tpot_ms_mean,decode_tps,service_time_ms,peak_alloc_mb,peak_reserved_mb
profile-ampere-a100-20260623-gpt2-extra,2026-06-23T12:16:41.948467+00:00,ampere,0,1g,MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,or-sim.io/mig-a9aaa9b9-3415-5b83-baab-d52b391db3ac,or-sim.io/ampere-gpu0-s0-1-1g,gpt2_p64_o256,gpt2-medium,gpt2-medium,llm,1,64,256,ok,,5,3122.816895,2950.825439,3671.912842,3671.912842,0.320224,21.602425,12.114119,82.548306,3122.816895,777.975586,834.0
profile-ampere-a100-20260623-gpt2-extra,2026-06-23T12:18:42.484202+00:00,ampere,0,2g,MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/mig-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/ampere-gpu0-s0-2-2g,gpt2_p64_o256,gpt2-medium,gpt2-medium,llm,1,64,256,ok,,5,2975.29834,2980.088379,3164.55835,3164.55835,0.336101,20.951622,11.540417,86.651982,2975.29834,777.975586,834.0
profile-ampere-a100-20260623-gpt2-extra,2026-06-23T12:20:46.009996+00:00,ampere,0,3g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-3g,gpt2_p64_o256,gpt2-medium,gpt2-medium,llm,1,64,256,ok,,5,2818.364551,2911.569092,3300.290771,3300.290771,0.354816,21.112006,10.926768,91.518372,2818.364551,777.975586,834.0
profile-ampere-a100-20260623-gpt2-extra,2026-06-23T12:22:51.539446+00:00,ampere,0,4g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-4g,gpt2_p64_o256,gpt2-medium,gpt2-medium,llm,1,64,256,ok,,5,3132.685107,3142.111816,3610.682373,3610.682373,0.319215,18.804787,12.163595,82.212537,3132.685107,777.975586,834.0
profile-ampere-a100-20260623-gpt2-extra,2026-06-23T12:24:52.054062+00:00,ampere,0,7g,MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/mig-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/ampere-gpu0-s0-8-7g,gpt2_p64_o256,gpt2-medium,gpt2-medium,llm,1,64,256,ok,,5,3188.373437,3207.794189,3819.334473,3819.334473,0.31364,20.801651,12.373327,80.819005,3188.373437,777.975586,834.0
profile-ampere-a100-20260623-gpt2-extra,2026-06-23T12:27:08.618594+00:00,ampere,0,1g,MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,or-sim.io/mig-a9aaa9b9-3415-5b83-baab-d52b391db3ac,or-sim.io/ampere-gpu0-s0-1-1g,gpt2_p64_o512,gpt2-medium,gpt2-medium,llm,1,64,512,ok,,5,5634.250293,5627.152832,5764.469727,5764.469727,0.177486,20.694663,10.963976,91.207789,5634.250293,834.926758,946.0
profile-ampere-a100-20260623-gpt2-extra,2026-06-23T12:29:27.178112+00:00,ampere,0,2g,MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/mig-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/ampere-gpu0-s0-2-2g,gpt2_p64_o512,gpt2-medium,gpt2-medium,llm,1,64,512,ok,,5,5312.160254,5260.356934,6031.428711,6031.428711,0.188247,19.003367,10.338197,96.728665,5312.160254,834.926758,946.0
profile-ampere-a100-20260623-gpt2-extra,2026-06-23T12:31:42.737190+00:00,ampere,0,3g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-3g,gpt2_p64_o512,gpt2-medium,gpt2-medium,llm,1,64,512,ok,,5,5449.936426,5428.013672,5911.479004,5911.479004,0.183488,19.379616,10.606556,94.281308,5449.936426,834.926758,946.0
profile-ampere-a100-20260623-gpt2-extra,2026-06-23T12:33:57.287982+00:00,ampere,0,4g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-4g,gpt2_p64_o512,gpt2-medium,gpt2-medium,llm,1,64,512,ok,,5,6001.255273,5741.167969,6575.811035,6575.811035,0.166632,19.799546,11.682531,85.597892,6001.255273,834.926758,946.0
profile-ampere-a100-20260623-gpt2-extra,2026-06-23T12:36:16.881155+00:00,ampere,0,7g,MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/mig-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/ampere-gpu0-s0-8-7g,gpt2_p64_o512,gpt2-medium,gpt2-medium,llm,1,64,512,ok,,5,5200.408691,5019.394043,5595.837891,5595.837891,0.192293,17.829824,10.122224,98.792515,5200.408691,834.926758,944.0
profile-ampere-a100-20260623-gpt2-extra,2026-06-23T12:38:16.363718+00:00,ampere,0,1g,MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,or-sim.io/mig-a9aaa9b9-3415-5b83-baab-d52b391db3ac,or-sim.io/ampere-gpu0-s0-1-1g,gpt2_p512_o256,gpt2-medium,gpt2-medium,llm,1,512,256,ok,,5,2870.350586,2878.241211,3159.13916,3159.13916,0.348389,36.064198,11.071431,90.322559,2870.350586,865.592773,904.0
profile-ampere-a100-20260623-gpt2-extra,2026-06-23T12:40:18.872923+00:00,ampere,0,2g,MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/mig-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/ampere-gpu0-s0-2-2g,gpt2_p512_o256,gpt2-medium,gpt2-medium,llm,1,512,256,ok,,5,2783.291846,2676.889893,3609.55542,3609.55542,0.359287,22.573747,10.784055,92.729497,2783.291846,865.592773,904.0
profile-ampere-a100-20260623-gpt2-extra,2026-06-23T12:42:22.693414+00:00,ampere,0,3g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-3g,gpt2_p512_o256,gpt2-medium,gpt2-medium,llm,1,512,256,ok,,5,2878.782617,2891.522705,3170.637451,3170.637451,0.347369,22.065504,11.159051,89.613353,2878.782617,865.592773,904.0
profile-ampere-a100-20260623-gpt2-extra,2026-06-23T12:44:22.902667+00:00,ampere,0,4g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-4g,gpt2_p512_o256,gpt2-medium,gpt2-medium,llm,1,512,256,ok,,5,3010.190869,2905.491455,3580.831787,3580.831787,0.332205,19.290797,11.683203,85.592963,3010.190869,865.592773,904.0
