run_id,timestamp,node,gpu_index,mig_profile,mig_uuid,device_resource,slot_resource,workload,model,model_id,family,batch,prompt_len,output_tokens,status,error,sample_count,latency_ms_mean,latency_ms_p50,latency_ms_p95,latency_ms_p99,throughput_rps,ttft_ms_mean,tpot_ms_mean,decode_tps,service_time_ms,peak_alloc_mb,peak_reserved_mb
profile-ampere-a100-20260623-gpt2,2026-06-23T07:35:50.486050+00:00,ampere,0,1g,MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,or-sim.io/mig-a9aaa9b9-3415-5b83-baab-d52b391db3ac,or-sim.io/ampere-gpu0-s0-1-1g,gpt2_p64_o64,gpt2-medium,gpt2-medium,llm,1,64,64,ok,,5,941.921692,983.391479,1080.795166,1080.795166,1.061659,18.989056,14.420822,69.344173,941.921692,741.972656,792.0
profile-ampere-a100-20260623-gpt2,2026-06-23T07:37:41.942897+00:00,ampere,0,2g,MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/mig-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/ampere-gpu0-s0-2-2g,gpt2_p64_o64,gpt2-medium,gpt2-medium,llm,1,64,64,ok,,5,950.263635,1058.984741,1100.713013,1100.713013,1.05234,20.15895,14.532886,68.809459,950.263635,741.972656,792.0
profile-ampere-a100-20260623-gpt2,2026-06-23T07:39:33.449367+00:00,ampere,0,3g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-3g,gpt2_p64_o64,gpt2-medium,gpt2-medium,llm,1,64,64,ok,,5,938.318713,996.676208,1036.560913,1036.560913,1.065736,20.434521,14.34194,69.725572,938.318713,741.972656,792.0
profile-ampere-a100-20260623-gpt2,2026-06-23T07:41:24.928839+00:00,ampere,0,4g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-4g,gpt2_p64_o64,gpt2-medium,gpt2-medium,llm,1,64,64,ok,,5,1058.96543,1057.966553,1086.868408,1086.868408,0.944318,21.46409,16.210958,61.686667,1058.96543,741.972656,792.0
profile-ampere-a100-20260623-gpt2,2026-06-23T07:43:18.418252+00:00,ampere,0,7g,MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/mig-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/ampere-gpu0-s0-8-7g,gpt2_p64_o64,gpt2-medium,gpt2-medium,llm,1,64,64,ok,,5,1064.25769,1063.572266,1091.743286,1091.743286,0.939622,21.405645,16.294563,61.370163,1064.25769,741.972656,792.0
profile-ampere-a100-20260623-gpt2,2026-06-23T07:45:13.899151+00:00,ampere,0,1g,MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,or-sim.io/mig-a9aaa9b9-3415-5b83-baab-d52b391db3ac,or-sim.io/ampere-gpu0-s0-1-1g,gpt2_p64_o128,gpt2-medium,gpt2-medium,llm,1,64,128,ok,,5,1822.450244,1867.19043,2107.706055,2107.706055,0.548712,20.248589,14.0797,71.024238,1822.450244,753.973633,808.0
profile-ampere-a100-20260623-gpt2,2026-06-23T07:47:07.366191+00:00,ampere,0,2g,MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/mig-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/ampere-gpu0-s0-2-2g,gpt2_p64_o128,gpt2-medium,gpt2-medium,llm,1,64,128,ok,,5,1777.520044,1803.181763,1819.404297,1819.404297,0.562582,22.177664,13.713612,72.920247,1777.520044,753.973633,808.0
profile-ampere-a100-20260623-gpt2,2026-06-23T07:48:55.817728+00:00,ampere,0,3g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-3g,gpt2_p64_o128,gpt2-medium,gpt2-medium,llm,1,64,128,ok,,5,1427.250854,1504.913818,1624.203735,1624.203735,0.700648,17.395565,11.014494,90.78946,1427.250854,753.973633,806.0
profile-ampere-a100-20260623-gpt2,2026-06-23T07:50:49.304134+00:00,ampere,0,4g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-4g,gpt2_p64_o128,gpt2-medium,gpt2-medium,llm,1,64,128,ok,,5,1481.511719,1472.796509,1765.250122,1765.250122,0.674986,19.260493,11.423838,87.536258,1481.511719,753.973633,808.0
profile-ampere-a100-20260623-gpt2,2026-06-23T07:52:41.775704+00:00,ampere,0,7g,MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/mig-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/ampere-gpu0-s0-8-7g,gpt2_p64_o128,gpt2-medium,gpt2-medium,llm,1,64,128,ok,,5,1517.466968,1669.860596,1800.229858,1800.229858,0.658993,17.691136,11.716999,85.346088,1517.466968,753.973633,806.0
profile-ampere-a100-20260623-gpt2,2026-06-23T07:54:31.242503+00:00,ampere,0,1g,MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,or-sim.io/mig-a9aaa9b9-3415-5b83-baab-d52b391db3ac,or-sim.io/ampere-gpu0-s0-1-1g,gpt2_p512_o64,gpt2-medium,gpt2-medium,llm,1,512,64,ok,,5,991.329626,1049.881714,1110.912842,1110.912842,1.008746,36.366304,14.921302,67.018281,991.329626,849.90625,884.0
profile-ampere-a100-20260623-gpt2,2026-06-23T07:56:23.703647+00:00,ampere,0,2g,MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/mig-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/ampere-gpu0-s0-2-2g,gpt2_p512_o64,gpt2-medium,gpt2-medium,llm,1,512,64,ok,,5,886.164612,953.920776,1019.138489,1019.138489,1.128459,23.689478,13.476174,74.205038,886.164612,849.90625,884.0
profile-ampere-a100-20260623-gpt2,2026-06-23T07:58:17.178469+00:00,ampere,0,3g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-3g,gpt2_p512_o64,gpt2-medium,gpt2-medium,llm,1,512,64,ok,,5,985.034045,986.827209,1040.338257,1040.338257,1.015193,23.325396,15.026698,66.548221,985.034045,849.90625,884.0
profile-ampere-a100-20260623-gpt2,2026-06-23T08:00:08.656853+00:00,ampere,0,4g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-4g,gpt2_p512_o64,gpt2-medium,gpt2-medium,llm,1,512,64,ok,,5,1044.905054,1131.638672,1161.609619,1161.609619,0.957025,23.240243,15.963513,62.642854,1044.905054,849.90625,884.0
profile-ampere-a100-20260623-gpt2,2026-06-23T08:02:00.105833+00:00,ampere,0,7g,MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/mig-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/ampere-gpu0-s0-8-7g,gpt2_p512_o64,gpt2-medium,gpt2-medium,llm,1,512,64,ok,,5,951.087683,1037.719116,1092.432983,1092.432983,1.051428,20.719795,14.536998,68.789992,951.087683,849.90625,884.0
profile-ampere-a100-20260623-gpt2,2026-06-23T08:03:56.607352+00:00,ampere,0,1g,MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,or-sim.io/mig-a9aaa9b9-3415-5b83-baab-d52b391db3ac,or-sim.io/ampere-gpu0-s0-1-1g,gpt2_p512_o128,gpt2-medium,gpt2-medium,llm,1,512,128,ok,,5,1542.138721,1608.62561,1699.668213,1699.668213,0.64845,35.666906,11.769311,84.966741,1542.138721,849.90625,884.0
profile-ampere-a100-20260623-gpt2,2026-06-23T08:05:58.418884+00:00,ampere,0,2g,MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/mig-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/ampere-gpu0-s0-2-2g,gpt2_p512_o128,gpt2-medium,gpt2-medium,llm,1,512,128,ok,,5,1655.733911,1788.476318,1853.067871,1853.067871,0.603962,25.517952,12.736062,78.517205,1655.733911,849.90625,884.0
profile-ampere-a100-20260623-gpt2,2026-06-23T08:07:51.601833+00:00,ampere,0,3g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-3g,gpt2_p512_o128,gpt2-medium,gpt2-medium,llm,1,512,128,ok,,5,1620.119238,1756.911499,2092.871338,2092.871338,0.617239,21.37865,12.490161,80.06302,1620.119238,849.90625,884.0
profile-ampere-a100-20260623-gpt2,2026-06-23T08:09:44.372867+00:00,ampere,0,4g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-4g,gpt2_p512_o128,gpt2-medium,gpt2-medium,llm,1,512,128,ok,,5,1679.47876,1682.264038,2133.462891,2133.462891,0.595423,20.670003,12.959443,77.163808,1679.47876,849.90625,884.0
profile-ampere-a100-20260623-gpt2,2026-06-23T08:11:46.593062+00:00,ampere,0,7g,MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/mig-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/ampere-gpu0-s0-8-7g,gpt2_p512_o128,gpt2-medium,gpt2-medium,llm,1,512,128,ok,,5,1630.105664,1570.293823,2040.596436,2040.596436,0.613457,19.768915,12.580756,79.48648,1630.105664,849.90625,884.0
