run_id,timestamp,node,gpu_index,mig_profile,mig_uuid,device_resource,slot_resource,workload,model,model_id,family,batch,prompt_len,output_tokens,status,error,sample_count,latency_ms_mean,latency_ms_p50,latency_ms_p95,latency_ms_p99,throughput_rps,ttft_ms_mean,tpot_ms_mean,decode_tps,service_time_ms,peak_alloc_mb,peak_reserved_mb
profile-ampere-a100-20260623-llama,2026-06-23T10:20:01.583679+00:00,ampere,0,2g,MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/mig-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/ampere-gpu0-s0-2-2g,llama32_3b_p64_o64,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,64,64,ok,,5,1794.409399,1858.534058,2009.191772,2009.191772,0.557286,36.13177,27.473088,36.399257,1794.409399,6167.973633,6228.0
profile-ampere-a100-20260623-llama,2026-06-23T10:23:22.702610+00:00,ampere,0,3g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-3g,llama32_3b_p64_o64,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,64,64,ok,,5,1668.360034,1659.553833,1809.675293,1809.675293,0.599391,34.033319,25.536355,39.159857,1668.360034,6167.973633,6228.0
profile-ampere-a100-20260623-llama,2026-06-23T10:26:38.226198+00:00,ampere,0,4g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-4g,llama32_3b_p64_o64,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,64,64,ok,,5,1515.478198,1264.216553,1902.606689,1902.606689,0.659858,28.025018,23.241456,43.026564,1515.478198,6167.973633,6228.0
profile-ampere-a100-20260623-llama,2026-06-23T10:29:53.010236+00:00,ampere,0,7g,MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/mig-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/ampere-gpu0-s0-8-7g,llama32_3b_p64_o64,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,64,64,ok,,5,1723.084399,1786.718506,2204.351074,2204.351074,0.580355,30.947635,26.439637,37.822002,1723.084399,6167.973633,6228.0
profile-ampere-a100-20260623-llama,2026-06-23T10:33:25.870629+00:00,ampere,0,2g,MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/mig-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/ampere-gpu0-s0-2-2g,llama32_3b_p64_o128,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,64,128,ok,,5,3605.920947,3526.840576,4056.797363,4056.797363,0.277322,37.241505,27.880308,35.867609,3605.920947,6170.041016,6234.0
profile-ampere-a100-20260623-llama,2026-06-23T10:36:46.699462+00:00,ampere,0,3g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-3g,llama32_3b_p64_o128,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,64,128,ok,,5,3122.671631,3016.93042,3492.794434,3492.794434,0.320239,37.440192,24.103371,41.487973,3122.671631,6170.041016,6234.0
profile-ampere-a100-20260623-llama,2026-06-23T10:40:09.512084+00:00,ampere,0,4g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-4g,llama32_3b_p64_o128,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,64,128,ok,,5,2887.17124,2931.384766,3168.724121,3168.724121,0.34636,33.707456,22.292686,44.857762,2887.17124,6170.041016,6234.0
profile-ampere-a100-20260623-llama,2026-06-23T10:43:34.375768+00:00,ampere,0,7g,MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/mig-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/ampere-gpu0-s0-8-7g,llama32_3b_p64_o128,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,64,128,ok,,5,2997.705664,2932.764893,3168.483887,3168.483887,0.333588,35.178458,23.144744,43.206354,2997.705664,6170.041016,6234.0
profile-ampere-a100-20260623-llama,2026-06-23T10:46:55.180661+00:00,ampere,0,2g,MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/mig-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/ampere-gpu0-s0-2-2g,llama32_3b_p512_o64,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,512,64,ok,,5,1976.712402,1994.694824,2047.408569,2047.408569,0.50589,85.200429,29.554875,33.835366,1976.712402,6329.602051,6420.0
profile-ampere-a100-20260623-llama,2026-06-23T10:50:15.986184+00:00,ampere,0,3g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-3g,llama32_3b_p512_o64,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,512,64,ok,,5,1654.655933,1630.040771,1870.574341,1870.574341,0.604355,58.41751,24.941225,40.094261,1654.655933,6329.602051,6420.0
profile-ampere-a100-20260623-llama,2026-06-23T10:53:27.763766+00:00,ampere,0,4g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-4g,llama32_3b_p512_o64,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,512,64,ok,,5,1456.201318,1303.999268,1814.566284,1814.566284,0.686718,46.483366,22.026843,45.399152,1456.201318,6329.602051,6420.0
profile-ampere-a100-20260623-llama,2026-06-23T10:56:44.593695+00:00,ampere,0,7g,MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/mig-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/ampere-gpu0-s0-8-7g,llama32_3b_p512_o64,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,512,64,ok,,5,1523.780591,1599.164429,1852.362549,1852.362549,0.656262,37.2008,23.227809,43.051843,1523.780591,6329.602051,6420.0
profile-ampere-a100-20260623-llama,2026-06-23T11:00:09.446281+00:00,ampere,0,2g,MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/mig-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/ampere-gpu0-s0-2-2g,llama32_3b_p512_o128,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,512,128,ok,,5,3611.385303,3613.921143,3760.114014,3760.114014,0.276902,85.432376,27.546507,36.302243,3611.385303,6329.602051,6420.0
profile-ampere-a100-20260623-llama,2026-06-23T11:03:30.276168+00:00,ampere,0,3g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-3g,llama32_3b_p512_o128,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,512,128,ok,,5,3104.641553,2943.478516,3814.097656,3814.097656,0.322098,58.364026,23.799043,42.018496,3104.641553,6329.602051,6420.0
profile-ampere-a100-20260623-llama,2026-06-23T11:06:53.099299+00:00,ampere,0,4g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-4g,llama32_3b_p512_o128,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,512,128,ok,,5,2902.249756,2919.743164,3121.464355,3121.464355,0.34456,46.762406,22.308495,44.825973,2902.249756,6329.602051,6420.0
profile-ampere-a100-20260623-llama,2026-06-23T11:10:18.948796+00:00,ampere,0,7g,MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/mig-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/ampere-gpu0-s0-8-7g,llama32_3b_p512_o128,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,512,128,ok,,5,2935.237354,2926.483398,3444.104004,3444.104004,0.340688,36.360512,22.647475,44.155032,2935.237354,6329.602051,6420.0
profile-ampere-a100-20260623-llama,2026-06-23T11:13:38.751540+00:00,ampere,0,2g,MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/mig-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/ampere-gpu0-s0-2-2g,llama32_3b_p1024_o64,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,1024,64,ok,,5,2025.486475,2023.258057,2142.258057,2142.258057,0.493709,152.932742,29.258652,34.177924,2025.486475,6513.105957,6620.0
profile-ampere-a100-20260623-llama,2026-06-23T11:16:59.555180+00:00,ampere,0,3g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-3g,llama32_3b_p1024_o64,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,1024,64,ok,,5,1553.921973,1561.283569,1924.152832,1924.152832,0.643533,98.038164,22.748185,43.959552,1553.921973,6513.105957,6620.0
profile-ampere-a100-20260623-llama,2026-06-23T11:20:15.359555+00:00,ampere,0,4g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-4g,llama32_3b_p1024_o64,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,1024,64,ok,,5,1548.517456,1353.02771,1877.233154,1877.233154,0.645779,76.319527,23.003093,43.472415,1548.517456,6513.105957,6620.0
profile-ampere-a100-20260623-llama,2026-06-23T11:23:38.191961+00:00,ampere,0,7g,MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/mig-457656ac-5439-5b56-8fcc-1ff4336bacf5,or-sim.io/ampere-gpu0-s0-8-7g,llama32_3b_p1024_o64,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,1024,64,ok,,5,1592.704858,1689.956177,2021.558105,2021.558105,0.627863,52.857926,24.060108,41.562573,1592.704858,6513.105957,6620.0
profile-ampere-a100-20260623-llama,2026-06-23T11:27:03.031327+00:00,ampere,0,2g,MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/mig-cade9db1-1a5a-5d9c-8368-68caf14f4282,or-sim.io/ampere-gpu0-s0-2-2g,llama32_3b_p1024_o128,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,1024,128,ok,,5,3978.081396,3958.258545,4140.89209,4140.89209,0.251377,153.016,29.883323,33.46348,3978.081396,6513.105957,6620.0
profile-ampere-a100-20260623-llama,2026-06-23T11:30:32.898109+00:00,ampere,0,3g,MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/mig-3db685b2-8ae5-5373-81b1-74ea5481f2e1,or-sim.io/ampere-gpu0-s0-4-3g,llama32_3b_p1024_o128,llama32_3b,meta-llama/Llama-3.2-3B,llm,1,1024,128,ok,,5,3130.300342,3079.427002,4054.071777,4054.071777,0.319458,98.119283,23.688915,42.213838,3130.300342,6513.105957,6620.0
