mig_uuid,mig_name,mig_profile,node,gpu_index,model,batch,image_size,patch_size,num_tokens,dtype,engine,status,error,sample_count,time_ms_mean,time_ms_p50,time_ms_p95,time_ms_p99,throughput_rps,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after,source_run_id
MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,0,vit-base-patch16-224,1,224,16,197,fp32,torchvision,ok,,50,21.626986,21.847073,22.087328,26.239712,46.238529,0.000000,0.000000,,,profile-ampere-a100-20260623-vision
MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,0,vit-base-patch16-224,1,224,16,197,fp32,torchvision,ok,,50,12.573912,11.929344,14.033408,18.596960,79.529746,0.000000,0.000000,,,profile-ampere-a100-20260623-vision
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,0,vit-base-patch16-224,1,224,16,197,fp32,torchvision,ok,,50,9.928987,8.814560,12.109184,17.606176,100.715210,0.000000,0.000000,,,profile-ampere-a100-20260623-vision
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,0,vit-base-patch16-224,1,224,16,197,fp32,torchvision,ok,,50,8.007727,7.215552,11.460128,13.422976,124.879376,0.000000,0.000000,,,profile-ampere-a100-20260623-vision
MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,0,vit-base-patch16-224,1,224,16,197,fp32,torchvision,ok,,50,8.777381,8.026176,11.628480,12.567552,113.929198,0.000000,0.000000,,,profile-ampere-a100-20260623-vision
MIG-a9aaa9b9-3415-5b83-baab-d52b391db3ac,NVIDIA A100-PCIE-40GB MIG 1g.5gb,1g,ampere,0,vit-base-patch16-224,4,224,16,197,fp32,torchvision,ok,,50,73.341475,73.285828,73.396194,79.163971,54.539399,0.000000,0.000000,,,profile-ampere-a100-20260623-vision
MIG-cade9db1-1a5a-5d9c-8368-68caf14f4282,NVIDIA A100-PCIE-40GB MIG 2g.10gb,2g,ampere,0,vit-base-patch16-224,4,224,16,197,fp32,torchvision,ok,,50,39.060447,39.091999,39.304321,43.138401,102.405383,0.000000,0.000000,,,profile-ampere-a100-20260623-vision
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,3g,ampere,0,vit-base-patch16-224,4,224,16,197,fp32,torchvision,ok,,50,27.758912,27.689695,28.000256,33.689697,144.097867,0.000000,0.000000,,,profile-ampere-a100-20260623-vision
MIG-3db685b2-8ae5-5373-81b1-74ea5481f2e1,NVIDIA A100-PCIE-40GB MIG 4g.20gb,4g,ampere,0,vit-base-patch16-224,4,224,16,197,fp32,torchvision,ok,,50,21.037164,20.946207,21.896416,25.023840,190.139697,0.000000,0.000000,,,profile-ampere-a100-20260623-vision
MIG-457656ac-5439-5b56-8fcc-1ff4336bacf5,NVIDIA A100-PCIE-40GB MIG 7g.40gb,7g,ampere,0,vit-base-patch16-224,4,224,16,197,fp32,torchvision,ok,,50,13.989606,13.558240,15.131104,17.538208,285.926558,0.000000,0.000000,,,profile-ampere-a100-20260623-vision
