run_id,timestamp,node,gpu_index,mig_profile,mig_uuid,device_resource,slot_resource,workload,model,model_id,family,batch,prompt_len,output_tokens,status,error,sample_count,latency_ms_mean,latency_ms_p50,latency_ms_p95,latency_ms_p99,throughput_rps,ttft_ms_mean,tpot_ms_mean,decode_tps,service_time_ms,peak_alloc_mb,peak_reserved_mb
smoke-rtx1-a100-20260622e,2026-06-22T14:11:53.110566+00:00,rtx1-worker,0,1g,MIG-4bc33233-28f9-566c-9f82-89bd8db02cf6,or-sim.io/mig-4bc33233-28f9-566c-9f82-89bd8db02cf6,or-sim.io/rtx1-worker-gpu0-s0-1-1g,resnet50,resnet50,,vision,4,,,ok,,3,129.966329,129.156295,143.126552,143.126552,30.777202,0.0,0.0,0.0,0.0,0.0,0.0
smoke-rtx1-a100-20260622e,2026-06-22T14:12:40.217396+00:00,rtx1-worker,0,2g,MIG-7076f62a-e0b2-533b-99af-74c7b443d5ba,or-sim.io/mig-7076f62a-e0b2-533b-99af-74c7b443d5ba,or-sim.io/rtx1-worker-gpu0-s0-2-2g,resnet50,resnet50,,vision,4,,,ok,,3,25.920256,25.448,29.164576,29.164576,154.319466,0.0,0.0,0.0,0.0,0.0,0.0
smoke-rtx1-a100-20260622e,2026-06-22T14:13:21.359070+00:00,rtx1-worker,0,3g,MIG-7aafc298-b386-508f-80b7-938481c587bc,or-sim.io/mig-7aafc298-b386-508f-80b7-938481c587bc,or-sim.io/rtx1-worker-gpu0-s0-4-3g,resnet50,resnet50,,vision,4,,,ok,,3,24.378955,23.412256,26.575808,26.575808,164.075945,0.0,0.0,0.0,0.0,0.0,0.0
smoke-rtx1-a100-20260622e,2026-06-22T14:13:59.454179+00:00,rtx1-worker,0,4g,MIG-7aafc298-b386-508f-80b7-938481c587bc,or-sim.io/mig-7aafc298-b386-508f-80b7-938481c587bc,or-sim.io/rtx1-worker-gpu0-s0-4-4g,resnet50,resnet50,,vision,4,,,ok,,3,25.900405,24.479776,30.548992,30.548992,154.437738,0.0,0.0,0.0,0.0,0.0,0.0
smoke-rtx1-a100-20260622e,2026-06-22T14:14:44.539073+00:00,rtx1-worker,0,7g,MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,or-sim.io/mig-a28fecf6-35ba-56a6-aab8-2be643b31249,or-sim.io/rtx1-worker-gpu0-s0-8-7g,resnet50,resnet50,,vision,4,,,ok,,3,109.489189,109.950012,120.66332,120.66332,36.533287,0.0,0.0,0.0,0.0,0.0,0.0
smoke-rtx1-a100-20260622e,2026-06-22T14:15:33.666397+00:00,rtx1-worker,0,1g,MIG-4bc33233-28f9-566c-9f82-89bd8db02cf6,or-sim.io/mig-4bc33233-28f9-566c-9f82-89bd8db02cf6,or-sim.io/rtx1-worker-gpu0-s0-1-1g,gpt2_p64_o64,gpt2-medium,gpt2-medium,llm,1,64,64,ok,,1,814.553101,814.553101,814.553101,814.553101,1.227667,16.807743,12.464771,80.226101,814.553101,741.972656,792.0
smoke-rtx1-a100-20260622e,2026-06-22T14:16:16.782443+00:00,rtx1-worker,0,2g,MIG-7076f62a-e0b2-533b-99af-74c7b443d5ba,or-sim.io/mig-7076f62a-e0b2-533b-99af-74c7b443d5ba,or-sim.io/rtx1-worker-gpu0-s0-2-2g,gpt2_p64_o64,gpt2-medium,gpt2-medium,llm,1,64,64,ok,,1,952.96936,952.96936,952.96936,952.96936,1.049352,13.76288,14.675101,68.14263,952.96936,741.972656,792.0
smoke-rtx1-a100-20260622e,2026-06-22T14:17:07.921594+00:00,rtx1-worker,0,3g,MIG-7aafc298-b386-508f-80b7-938481c587bc,or-sim.io/mig-7aafc298-b386-508f-80b7-938481c587bc,or-sim.io/rtx1-worker-gpu0-s0-4-3g,gpt2_p64_o64,gpt2-medium,gpt2-medium,llm,1,64,64,ok,,1,657.109314,657.109314,657.109314,657.109314,1.521817,13.889184,10.050315,99.499374,657.109314,741.972656,792.0
smoke-rtx1-a100-20260622e,2026-06-22T14:18:00.033817+00:00,rtx1-worker,0,4g,MIG-7aafc298-b386-508f-80b7-938481c587bc,or-sim.io/mig-7aafc298-b386-508f-80b7-938481c587bc,or-sim.io/rtx1-worker-gpu0-s0-4-4g,gpt2_p64_o64,gpt2-medium,gpt2-medium,llm,1,64,64,ok,,1,944.967346,944.967346,944.967346,944.967346,1.058238,13.86448,14.548482,68.735692,944.967346,741.972656,792.0
smoke-rtx1-a100-20260622e,2026-06-22T14:18:52.161887+00:00,rtx1-worker,0,7g,MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,or-sim.io/mig-a28fecf6-35ba-56a6-aab8-2be643b31249,or-sim.io/rtx1-worker-gpu0-s0-8-7g,gpt2_p64_o64,gpt2-medium,gpt2-medium,llm,1,64,64,ok,,1,892.362793,892.362793,892.362793,892.362793,1.12062,14.159584,13.721925,72.876072,892.362793,741.972656,792.0
