mig_uuid,mig_name,model,batch,prompt_len,output_tokens,dtype,engine,ttft_ms,decode_tps,time_ms_mean,time_ms_p50,time_ms_p90,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,Llama-3.2-3B-Instruct,1,64,64,fp16,hf,21.5864,51.2730,1269.9321,1268.7300,1286.5876,6166.98,6226.00,13573.88,13473.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,Llama-3.2-3B-Instruct,1,128,64,fp16,hf,22.5634,50.3656,1293.4351,1289.4013,1313.4798,6190.11,6268.00,13473.88,13429.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,Llama-3.2-3B-Instruct,1,512,64,fp16,hf,53.1523,50.6819,1316.0870,1313.9489,1329.8303,6366.61,6448.00,13429.88,13249.88
MIG-41494cc9-8ea6-56db-972e-a67bf4756eb1,NVIDIA A100-PCIE-40GB MIG 3g.20gb,Llama-3.2-3B-Instruct,1,1024,64,fp16,hf,92.8640,50.9256,1349.7053,1348.2518,1364.7334,6509.36,6700.00,13249.88,12997.88
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,Llama-3.2-3B-Instruct,1,64,64,fp16,hf,29.1607,38.7154,1682.3942,1685.2089,1698.8170,6166.98,6226.00,3524.94,3434.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,Llama-3.2-3B-Instruct,1,128,64,fp16,hf,34.6554,38.4275,1700.2075,1701.8110,1708.2961,6190.11,6268.00,3434.94,3390.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,Llama-3.2-3B-Instruct,1,512,64,fp16,hf,81.0409,38.5708,1740.4134,1739.0551,1753.3212,6366.61,6448.00,3390.94,3210.94
MIG-1a75a8f0-faee-5efd-9beb-dac65af9c0b5,NVIDIA A100-PCIE-40GB MIG 2g.10gb,Llama-3.2-3B-Instruct,1,1024,64,fp16,hf,148.1097,38.7469,1799.9407,1801.3638,1812.4062,6509.36,6700.00,3210.94,2958.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,Llama-3.2-3B-Instruct,1,64,64,fp16,hf,21.3830,51.7174,1258.9850,1258.5781,1268.9811,6166.98,6226.00,13510.94,13402.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,Llama-3.2-3B-Instruct,1,128,64,fp16,hf,21.6728,51.4887,1264.7683,1259.7912,1280.1231,6190.11,6268.00,13402.94,13358.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,Llama-3.2-3B-Instruct,1,512,64,fp16,hf,40.5179,51.8276,1275.6277,1274.2287,1298.6239,6366.61,6448.00,13358.94,13178.94
MIG-7aafc298-b386-508f-80b7-938481c587bc,NVIDIA A100-PCIE-40GB MIG 4g.20gb,Llama-3.2-3B-Instruct,1,1024,64,fp16,hf,71.6864,51.8716,1305.5991,1304.2317,1320.4622,6509.38,6700.00,13178.94,12926.94
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,Llama-3.2-3B-Instruct,1,64,64,fp16,hf,20.7735,52.0811,1249.8364,1244.4680,1279.8423,6166.98,6226.00,33676.50,33540.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,Llama-3.2-3B-Instruct,1,128,64,fp16,hf,21.1051,51.4598,1264.8789,1265.8586,1275.7371,6190.11,6268.00,33540.50,33496.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,Llama-3.2-3B-Instruct,1,512,64,fp16,hf,26.2328,51.5947,1266.7942,1265.7513,1277.1383,6366.61,6448.00,33496.50,33316.50
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,Llama-3.2-3B-Instruct,1,1024,64,fp16,hf,46.4961,51.5844,1287.2849,1283.7264,1305.7700,6509.38,6700.00,33316.50,33064.50
