run_id,timestamp,node,gpu_index,mig_profile,mig_uuid,device_resource,slot_resource,workload,model,model_id,family,batch,prompt_len,output_tokens,status,error,sample_count,latency_ms_mean,latency_ms_p50,latency_ms_p95,latency_ms_p99,throughput_rps,ttft_ms_mean,tpot_ms_mean,decode_tps,service_time_ms,peak_alloc_mb,peak_reserved_mb
full-vision-gpt2-rtx1-a100-20260622,2026-06-22T14:43:59.870160+00:00,rtx1-worker,0,1g,MIG-4bc33233-28f9-566c-9f82-89bd8db02cf6,or-sim.io/mig-4bc33233-28f9-566c-9f82-89bd8db02cf6,or-sim.io/rtx1-worker-gpu0-s0-1-1g,resnet50,resnet50,,vision,4,,,ok,,20,23.238139,22.756001,24.767296,27.146944,172.130822,0.0,0.0,0.0,0.0,0.0,0.0
full-vision-gpt2-rtx1-a100-20260622,2026-06-22T14:44:48.978304+00:00,rtx1-worker,0,2g,MIG-7076f62a-e0b2-533b-99af-74c7b443d5ba,or-sim.io/mig-7076f62a-e0b2-533b-99af-74c7b443d5ba,or-sim.io/rtx1-worker-gpu0-s0-2-2g,resnet50,resnet50,,vision,4,,,ok,,20,23.67013,23.189535,25.152639,29.644224,168.989357,0.0,0.0,0.0,0.0,0.0,0.0
full-vision-gpt2-rtx1-a100-20260622,2026-06-22T14:45:30.061100+00:00,rtx1-worker,0,3g,MIG-7aafc298-b386-508f-80b7-938481c587bc,or-sim.io/mig-7aafc298-b386-508f-80b7-938481c587bc,or-sim.io/rtx1-worker-gpu0-s0-4-3g,resnet50,resnet50,,vision,4,,,ok,,20,23.257784,22.570175,25.387327,27.39616,171.985431,0.0,0.0,0.0,0.0,0.0,0.0
full-vision-gpt2-rtx1-a100-20260622,2026-06-22T14:46:09.142233+00:00,rtx1-worker,0,4g,MIG-7aafc298-b386-508f-80b7-938481c587bc,or-sim.io/mig-7aafc298-b386-508f-80b7-938481c587bc,or-sim.io/rtx1-worker-gpu0-s0-4-4g,resnet50,resnet50,,vision,4,,,ok,,20,23.70084,23.497055,25.931488,29.023457,168.770389,0.0,0.0,0.0,0.0,0.0,0.0
full-vision-gpt2-rtx1-a100-20260622,2026-06-22T14:46:52.245481+00:00,rtx1-worker,0,7g,MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,or-sim.io/mig-a28fecf6-35ba-56a6-aab8-2be643b31249,or-sim.io/rtx1-worker-gpu0-s0-8-7g,resnet50,resnet50,,vision,4,,,ok,,20,23.928003,23.665537,28.683519,30.966145,167.168148,0.0,0.0,0.0,0.0,0.0,0.0
full-vision-gpt2-rtx1-a100-20260622,2026-06-22T14:47:33.329187+00:00,rtx1-worker,0,1g,MIG-4bc33233-28f9-566c-9f82-89bd8db02cf6,or-sim.io/mig-4bc33233-28f9-566c-9f82-89bd8db02cf6,or-sim.io/rtx1-worker-gpu0-s0-1-1g,resnet50,resnet50,,vision,16,,,ok,,20,46.307954,46.088737,46.324383,50.028736,345.513,0.0,0.0,0.0,0.0,0.0,0.0
full-vision-gpt2-rtx1-a100-20260622,2026-06-22T14:48:22.440730+00:00,rtx1-worker,0,2g,MIG-7076f62a-e0b2-533b-99af-74c7b443d5ba,or-sim.io/mig-7076f62a-e0b2-533b-99af-74c7b443d5ba,or-sim.io/rtx1-worker-gpu0-s0-2-2g,resnet50,resnet50,,vision,16,,,ok,,20,24.542989,24.341536,25.328096,27.096992,651.917347,0.0,0.0,0.0,0.0,0.0,0.0
full-vision-gpt2-rtx1-a100-20260622,2026-06-22T14:49:03.549764+00:00,rtx1-worker,0,3g,MIG-7aafc298-b386-508f-80b7-938481c587bc,or-sim.io/mig-7aafc298-b386-508f-80b7-938481c587bc,or-sim.io/rtx1-worker-gpu0-s0-4-3g,resnet50,resnet50,,vision,16,,,ok,,20,24.641742,24.135296,26.300833,34.799679,649.304741,0.0,0.0,0.0,0.0,0.0,0.0
full-vision-gpt2-rtx1-a100-20260622,2026-06-22T14:49:46.641266+00:00,rtx1-worker,0,4g,MIG-7aafc298-b386-508f-80b7-938481c587bc,or-sim.io/mig-7aafc298-b386-508f-80b7-938481c587bc,or-sim.io/rtx1-worker-gpu0-s0-4-4g,resnet50,resnet50,,vision,16,,,ok,,20,23.357608,22.799776,24.690496,32.677151,685.001651,0.0,0.0,0.0,0.0,0.0,0.0
full-vision-gpt2-rtx1-a100-20260622,2026-06-22T14:50:35.746808+00:00,rtx1-worker,0,7g,MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,or-sim.io/mig-a28fecf6-35ba-56a6-aab8-2be643b31249,or-sim.io/rtx1-worker-gpu0-s0-8-7g,resnet50,resnet50,,vision,16,,,ok,,20,22.680543,22.196287,24.352257,27.796064,705.450496,0.0,0.0,0.0,0.0,0.0,0.0
full-vision-gpt2-rtx1-a100-20260622,2026-06-22T14:53:36.715664+00:00,rtx1-worker,0,1g,,,or-sim.io/rtx1-worker-gpu0-s0-1-1g,resnet50,resnet50,,vision,32,,,error,timed out,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full-vision-gpt2-rtx1-a100-20260622,2026-06-22T14:56:36.970139+00:00,rtx1-worker,0,2g,,,or-sim.io/rtx1-worker-gpu0-s0-2-2g,resnet50,resnet50,,vision,32,,,error,timed out,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
