mig_uuid,mig_name,model,batch,input_hw,time_ms_mean,time_ms_p50,time_ms_p90,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vgg16,4,224x224,3.2842,3.2819,3.3024,690.48,706,39294.5,39064.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vgg16,8,224x224,5.5349,5.5337,5.5716,836.93,1002,39064.5,38768.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vgg16,16,224x224,10.1661,10.1601,10.2554,1135.95,1592,38768.5,38178.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vgg16,32,224x224,19.2563,19.2031,19.4222,1732.81,2770,38178.5,37000.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vgg16,64,224x224,37.6118,37.5757,37.9884,2927.3,5126,37000.5,34644.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,vgg16,128,224x224,74.5989,74.6117,75.1903,5316.3,9832,34644.5,29938.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,resnet50,4,224x224,3.8044,3.7939,3.8973,150.35,166,39650.5,39604.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,resnet50,8,224x224,3.9833,3.9752,4.0458,192.48,244,39604.5,39526.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,resnet50,16,224x224,6.8065,6.8086,6.8127,279.73,394,39526.5,39376.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,resnet50,32,224x224,12.3829,12.3935,12.4099,445.23,788,39376.5,38982.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,resnet50,64,224x224,23.367,23.3441,23.4691,783.22,1574,38982.5,38196.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,resnet50,128,224x224,44.6308,44.6218,44.759,1456.22,3144,38196.5,36626.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,densenet121,4,224x224,9.8918,9.8243,10.1315,82.09,102,39724.5,39668.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,densenet121,8,224x224,10.0054,9.984,10.2195,122.16,160,39668.5,39610.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,densenet121,16,224x224,9.8537,9.8017,10.114,202.65,304,39610.5,39466.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,densenet121,32,224x224,16.2462,16.2437,16.2591,366.03,512,39466.5,39258.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,densenet121,64,224x224,30.9177,30.9166,30.9821,691.77,904,39258.5,38866.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,densenet121,128,224x224,57.2181,57.2058,57.3665,1341.27,1688,38866.5,38082.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,inception_v3,4,299x299,7.2384,7.2315,7.3994,160.12,204,39650.5,39566.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,inception_v3,8,299x299,7.1111,7.1158,7.2131,216.08,314,39566.5,39456.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,inception_v3,16,299x299,9.4109,9.4085,9.4218,328.91,530,39456.5,39240.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,inception_v3,32,299x299,16.4104,16.4444,16.4649,556.37,1046,39240.5,38724.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,inception_v3,64,299x299,31.8277,31.8157,31.9683,1012,2070,38724.5,37698.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,inception_v3,128,299x299,60.0561,60.0678,60.4109,1922.9,4118,37698.5,35650.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,convnext_base,4,224x224,6.4737,6.4522,6.6222,411.03,446,39398.5,39322.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,convnext_base,8,224x224,8.5579,8.5658,8.6006,476.59,546,39322.5,39222.5
MIG-a28fecf6-35ba-56a6-aab8-2be643b31249,NVIDIA A100-PCIE-40GB MIG 7g.40gb,convnext_base,16,224x224,15.3796,15.2812,15.5515,601.71,742,39222.5,39026.5
