mig_uuid,mig_name,model,batch,image_size,patch_size,num_tokens,dtype,engine,time_ms_mean,time_ms_p50,time_ms_p90,peak_alloc_mb,peak_reserved_mb,free_mb_before,free_mb_after
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vit-base-patch16-224,1,224,16,197,bf16,hf,7.1406,6.9689,7.1918,187.00,208.00,4588.00,4532.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vit-base-patch16-224,1,256,16,257,bf16,hf,8.0162,7.9091,7.9345,189.80,210.00,4532.00,4530.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vit-base-patch16-224,1,384,16,577,bf16,hf,12.0821,12.0582,12.0800,200.11,210.00,4530.00,4530.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vit-base-patch16-224,2,224,16,197,bf16,hf,6.8653,6.7947,7.0470,192.48,210.00,4530.00,4528.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vit-base-patch16-224,2,256,16,257,bf16,hf,10.1711,10.1644,10.1810,198.08,210.00,4528.00,4528.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vit-base-patch16-224,2,384,16,577,bf16,hf,19.3319,19.3329,19.3547,218.71,250.00,4528.00,4488.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vit-base-patch16-224,4,224,16,197,bf16,hf,10.2697,10.2592,10.2766,203.44,250.00,4488.00,4488.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vit-base-patch16-224,4,256,16,257,bf16,hf,16.2278,16.2231,16.2417,215.08,250.00,4488.00,4488.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vit-base-patch16-224,4,384,16,577,bf16,hf,34.0038,33.9874,34.0275,256.84,292.00,4488.00,4446.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vit-base-patch16-224,8,224,16,197,bf16,hf,20.6102,20.6087,20.6272,225.70,292.00,4446.00,4446.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vit-base-patch16-224,8,256,16,257,bf16,hf,29.1899,29.1786,29.2117,247.75,292.00,4446.00,4446.00
MIG-c32617f2-2c83-556f-bad7-229e3728d6f3,NVIDIA A100-PCIE-40GB MIG 1g.5gb,vit-base-patch16-224,8,384,16,577,bf16,hf,60.7435,60.7384,60.7725,334.08,376.00,4446.00,4362.00
